,name,test_acc,test_acc_ft,delta,cr_test
1,vgg_0.1,39.54418+-6.328014448624467,67.65126000000001+-1.4207681788384752,28.107079999999996+-6.211031456771092,97.58+-0.08366600265340789
2,alexnet_0.1,42.88614+-3.645763900474082,58.60866+-1.475396629045899,15.722520000000003+-3.0454061169243074,97.12+-0.04472135954999961
3,lenet_0.1,44.0406+-5.2446397745698405,58.67438+-1.8354024700321174,14.633780000000002+-4.466963527610225,94.84+-0.11401754250991417
4,resnet20_0.1,45.84196+-7.613663988054634,64.24364+-0.6119969877376855,18.40168+-8.025224760528518,92.88000000000001+-0.16431676725154784
