,epoch,theta,learning_rate,train_loss,train_accuracy(%),top_5_accuracy(%),test_accuracy(%),top_5_test_accuracy(%),ranks,# effective parameters,cr_test (%),# effective parameters train,cr_train (%),# effective parameters train with grads,cr_train_grads (%)
0,0,0.1,0.05,1.516,43.638,90.8348,40.0179,89.799,"[64, 74]",2857930,87.7,6104672,73.8,9369392,79.9
1,1,0.1,0.05,1.155,58.428,95.5523,49.1342,92.4761,"[64, 74]",2857930,87.7,6104672,73.8,9369392,79.9
2,2,0.1,0.05,1.02,63.868,96.7851,52.5577,93.1528,"[64, 74]",2857930,87.7,6104672,73.8,9369392,79.9
3,3,0.1,0.05,0.948,66.63,97.0648,66.0032,97.3627,"[63, 74]",2853833,87.7,6083176,73.9,9342268,79.9
4,4,0.1,0.05,0.879,69.092,97.4644,70.6907,98.0494,"[63, 74]",2853833,87.7,6083176,73.9,9342268,79.9
5,5,0.1,0.05,0.808,71.668,97.968,67.0681,97.5816,"[63, 74]",2853833,87.7,6083176,73.9,9342268,79.9
6,6,0.1,0.05,0.766,73.218,98.1338,64.8985,95.8698,"[62, 74]",2849736,87.7,6061696,73.9,9315168,80.0
7,7,0.1,0.05,0.734,74.524,98.1997,68.6605,97.7409,"[62, 74]",2849736,87.7,6061696,73.9,9315168,80.0
8,8,0.1,0.05,0.709,75.432,98.3696,67.715,97.6812,"[62, 74]",2849736,87.7,6061696,73.9,9315168,80.0
9,9,0.1,0.05,0.681,76.562,98.5174,69.178,97.9997,"[62, 74]",2849736,87.7,6061696,73.9,9315168,80.0
10,10,0.1,0.05,0.654,77.23,98.5614,67.1975,97.1338,"[62, 74]",2849736,87.7,6061696,73.9,9315168,80.0
11,11,0.1,0.05,0.645,77.946,98.6053,72.3229,98.1589,"[62, 74]",2849736,87.7,6061696,73.9,9315168,80.0
12,12,0.1,0.05,0.644,77.816,98.5794,69.8447,97.6812,"[62, 74]",2849736,87.7,6061696,73.9,9315168,80.0
13,13,0.1,0.05,0.707,75.986,98.2177,67.0482,95.7604,"[62, 74]",2849736,87.7,6061696,73.9,9315168,80.0
14,14,0.1,0.05,0.705,76.308,98.1398,64.5701,96.9248,"[62, 74]",2849736,87.7,6061696,73.9,9315168,80.0
15,15,0.1,0.05,0.611,79.286,98.6833,76.6421,98.6764,"[62, 74]",2849736,87.7,6061696,73.9,9315168,80.0
16,16,0.1,0.05,0.612,79.268,98.5494,69.6656,96.8949,"[62, 74]",2849736,87.7,6061696,73.9,9315168,80.0
17,17,0.1,0.05,0.583,80.146,98.7452,74.2635,97.3627,"[62, 74]",2849736,87.7,6061696,73.9,9315168,80.0
18,18,0.1,0.05,0.58,80.388,98.7172,70.6608,96.2181,"[62, 74]",2849736,87.7,6061696,73.9,9315168,80.0
19,19,0.1,0.05,0.585,80.318,98.6793,76.9706,98.3878,"[61, 74]",2845639,87.8,6040232,74.0,9288092,80.0
