,epoch,theta,learning_rate,train_loss,train_accuracy(%),top_5_accuracy(%),test_accuracy(%),top_5_test_accuracy(%),ranks,# effective parameters,cr_test (%),# effective parameters train,cr_train (%),# effective parameters train with grads,cr_train_grads (%)
29,9,0.1,0.05,0.989,64.2483,96.7152,62.1019,96.6263,"[13, 25, 29, 43, 47, 41, 51, 54, 59, 63, 62, 61, 52, 58, 74]",813532,97.6,6123456,81.8,9148601,86.4
30,10,0.1,0.05,0.978,64.8358,96.859,63.5052,96.8053,"[13, 25, 29, 43, 47, 41, 51, 54, 59, 63, 62, 61, 52, 58, 74]",813532,97.6,6123456,81.8,9148601,86.4
31,11,0.1,0.05,0.972,65.0975,96.921,64.8089,97.2035,"[13, 25, 29, 43, 47, 41, 51, 54, 59, 63, 62, 61, 52, 58, 74]",813532,97.6,6123456,81.8,9148601,86.4
32,12,0.1,0.05,0.964,65.2454,97.0309,65.9534,97.3925,"[13, 25, 29, 43, 47, 41, 51, 54, 59, 63, 62, 61, 52, 58, 74]",813532,97.6,6123456,81.8,9148601,86.4
33,13,0.1,0.05,0.954,65.7329,97.1627,65.1771,97.1636,"[13, 25, 29, 43, 47, 41, 51, 54, 59, 63, 62, 61, 52, 58, 74]",813532,97.6,6123456,81.8,9148601,86.4
34,14,0.1,0.05,0.948,65.9147,97.1088,65.3463,97.2333,"[13, 25, 29, 43, 47, 41, 51, 54, 59, 63, 62, 61, 52, 58, 74]",813532,97.6,6123456,81.8,9148601,86.4
35,15,0.1,0.05,0.935,66.3923,97.0828,66.6003,97.4324,"[13, 25, 29, 43, 47, 41, 51, 54, 59, 63, 62, 61, 52, 58, 74]",813532,97.6,6123456,81.8,9148601,86.4
36,16,0.1,0.05,0.933,66.3863,97.2367,64.6895,97.0641,"[13, 25, 29, 43, 47, 41, 51, 54, 59, 63, 62, 61, 52, 58, 74]",813532,97.6,6123456,81.8,9148601,86.4
37,17,0.1,0.05,0.923,66.7659,97.3046,66.9088,97.3229,"[13, 25, 29, 43, 47, 41, 51, 54, 59, 63, 62, 61, 52, 58, 74]",813532,97.6,6123456,81.8,9148601,86.4
38,18,0.1,0.05,0.918,67.1336,97.2227,64.5402,97.0641,"[13, 25, 29, 43, 47, 41, 51, 54, 59, 63, 62, 61, 52, 58, 74]",813532,97.6,6123456,81.8,9148601,86.4
39,19,0.1,0.05,0.91,67.1296,97.3685,67.088,97.5816,"[13, 25, 29, 43, 47, 41, 51, 54, 59, 63, 62, 61, 52, 58, 74]",813532,97.6,6123456,81.8,9148601,86.4
