,epoch,theta,learning_rate,train_loss,train_accuracy(%),top_5_accuracy(%),test_accuracy(%),top_5_test_accuracy(%),ranks,# effective parameters,cr_test (%),# effective parameters train,cr_train (%),# effective parameters train with grads,cr_train_grads (%)
25,5,0.1,0.05,1.113,60.2182,95.798,61.256,96.4869,"[8, 8, 8, 8, 8, 8, 16, 16, 16, 16, 15, 16, 22, 28, 27, 22, 27, 29, 25, 26]",19101,93.1,308301,-11.5,452470,18.2
26,6,0.1,0.05,1.111,60.1283,95.828,61.4849,96.2082,"[8, 8, 8, 8, 8, 8, 16, 16, 16, 16, 15, 16, 22, 28, 27, 22, 27, 29, 25, 26]",19101,93.1,308301,-11.5,452470,18.2
27,7,0.1,0.05,1.1,60.6078,95.862,61.7337,96.7058,"[8, 8, 8, 8, 8, 8, 16, 16, 16, 16, 15, 16, 22, 28, 27, 22, 27, 29, 25, 26]",19101,93.1,308301,-11.5,452470,18.2
28,8,0.1,0.05,1.094,60.9835,95.854,62.1716,96.5665,"[8, 8, 8, 8, 8, 8, 16, 16, 16, 16, 15, 16, 22, 28, 27, 22, 27, 29, 25, 26]",19101,93.1,308301,-11.5,452470,18.2
29,9,0.1,0.05,1.084,61.2372,95.9719,62.1218,96.6362,"[8, 8, 8, 8, 8, 8, 16, 16, 16, 16, 15, 16, 22, 28, 27, 22, 27, 29, 25, 26]",19101,93.1,308301,-11.5,452470,18.2
30,10,0.1,0.05,1.082,61.2172,95.9159,63.545,96.7158,"[8, 8, 8, 8, 8, 8, 16, 16, 16, 16, 15, 16, 22, 28, 27, 22, 27, 29, 25, 26]",19101,93.1,308301,-11.5,452470,18.2
31,11,0.1,0.05,1.073,61.7507,96.0558,62.9379,96.7556,"[8, 8, 8, 8, 8, 8, 16, 16, 16, 16, 15, 16, 22, 28, 27, 22, 27, 29, 25, 26]",19101,93.1,308301,-11.5,452470,18.2
32,12,0.1,0.05,1.069,61.7307,96.1297,62.918,96.7556,"[8, 8, 8, 8, 8, 8, 16, 16, 16, 16, 15, 16, 22, 28, 27, 22, 27, 29, 25, 26]",19101,93.1,308301,-11.5,452470,18.2
33,13,0.1,0.05,1.064,61.9625,96.1177,63.5549,96.8352,"[8, 8, 8, 8, 8, 8, 16, 16, 16, 16, 15, 16, 22, 28, 27, 22, 27, 29, 25, 26]",19101,93.1,308301,-11.5,452470,18.2
34,14,0.1,0.05,1.062,62.1883,96.0858,62.3209,96.5765,"[8, 8, 8, 8, 8, 8, 16, 16, 16, 16, 15, 16, 22, 28, 27, 22, 27, 29, 25, 26]",19101,93.1,308301,-11.5,452470,18.2
35,15,0.1,0.05,1.052,62.52,96.2276,63.4554,96.7954,"[8, 8, 8, 8, 8, 8, 16, 16, 16, 16, 15, 16, 22, 28, 27, 22, 27, 29, 25, 26]",19101,93.1,308301,-11.5,452470,18.2
36,16,0.1,0.05,1.049,62.5979,96.3135,63.0175,96.8751,"[8, 8, 8, 8, 8, 8, 16, 16, 16, 16, 15, 16, 22, 28, 27, 22, 27, 29, 25, 26]",19101,93.1,308301,-11.5,452470,18.2
37,17,0.1,0.05,1.048,62.8477,96.2556,64.3909,97.0243,"[8, 8, 8, 8, 8, 8, 16, 16, 16, 16, 15, 16, 22, 28, 27, 22, 27, 29, 25, 26]",19101,93.1,308301,-11.5,452470,18.2
38,18,0.1,0.05,1.047,62.5,96.3095,63.5251,96.8452,"[8, 8, 8, 8, 8, 8, 16, 16, 16, 16, 15, 16, 22, 28, 27, 22, 27, 29, 25, 26]",19101,93.1,308301,-11.5,452470,18.2
39,19,0.1,0.05,1.04,62.9875,96.3235,64.6497,96.9447,"[8, 8, 8, 8, 8, 8, 16, 16, 16, 16, 15, 16, 22, 28, 27, 22, 27, 29, 25, 26]",19101,93.1,308301,-11.5,452470,18.2
