,epoch,theta,learning_rate,train_loss,train_accuracy(%),validation_loss,validation_accuracy(%),test_accuracy(%),ranks,# effective parameters,cr_test (%),# effective parameters train,cr_train (%),# effective parameters train with grads,cr_train_grads (%)
0,0,0.11,0.05,1.086,66.1261,0.541,82.9114,82.8916,"[10, 22, 51]",31883,92.6,345880,19.7,442470,48.6
1,1,0.11,0.05,0.376,88.3032,0.254,91.6436,91.5941,"[10, 22, 51]",31883,92.6,345880,19.7,442470,48.6
2,2,0.11,0.05,0.288,91.3176,0.182,94.3631,94.0071,"[10, 22, 51]",31883,92.6,345880,19.7,442470,48.6
3,3,0.11,0.05,0.156,95.183,0.194,93.7104,94.0665,"[10, 22, 51]",31883,92.6,345880,19.7,442470,48.6
4,4,0.11,0.05,0.298,90.977,0.26,91.7425,91.8117,"[10, 22, 51]",31883,92.6,345880,19.7,442470,48.6
5,5,0.11,0.05,0.201,93.8955,0.177,94.462,94.6499,"[10, 22, 51]",31883,92.6,345880,19.7,442470,48.6
6,6,0.11,0.05,0.131,96.0482,0.135,95.985,95.7872,"[10, 22, 51]",31883,92.6,345880,19.7,442470,48.6
7,7,0.11,0.05,0.124,96.1617,0.145,95.3718,95.4905,"[10, 22, 50]",31382,92.7,339872,21.1,434758,49.5
8,8,0.11,0.05,0.096,96.9517,0.132,96.1432,95.8663,"[10, 22, 50]",31382,92.7,339872,21.1,434758,49.5
9,9,0.11,0.05,0.075,97.6036,0.113,96.1333,96.4003,"[10, 22, 50]",31382,92.7,339872,21.1,434758,49.5
10,10,0.11,0.05,0.092,97.1144,0.091,97.1321,97.2508,"[10, 22, 50]",31382,92.7,339872,21.1,434758,49.5
11,11,0.11,0.05,0.073,97.7329,0.09,97.2508,97.2903,"[10, 22, 50]",31382,92.7,339872,21.1,434758,49.5
12,12,0.11,0.05,0.204,94.1369,0.244,92.7512,92.9391,"[10, 22, 50]",31382,92.7,339872,21.1,434758,49.5
13,13,0.11,0.05,0.137,95.7373,0.089,97.1519,97.2805,"[10, 22, 50]",31382,92.7,339872,21.1,434758,49.5
14,14,0.11,0.05,0.081,97.5387,0.103,96.6574,96.6772,"[10, 22, 50]",31382,92.7,339872,21.1,434758,49.5
15,15,0.11,0.05,0.063,98.0019,0.068,97.9035,98.0815,"[10, 22, 50]",31382,92.7,339872,21.1,434758,49.5
16,16,0.11,0.05,0.061,98.0566,0.068,97.854,97.9134,"[10, 22, 50]",31382,92.7,339872,21.1,434758,49.5
17,17,0.11,0.05,0.058,98.1594,0.062,98.0815,98.0914,"[10, 22, 50]",31382,92.7,339872,21.1,434758,49.5
18,18,0.11,0.05,0.077,97.6043,0.09,97.2211,97.3398,"[10, 22, 50]",31382,92.7,339872,21.1,434758,49.5
19,19,0.11,0.05,0.198,94.427,0.131,96.0146,96.3113,"[10, 21, 50]",31331,92.7,337328,21.6,431492,49.9
