,epoch,theta,learning_rate,train_loss,train_accuracy(%),validation_loss,validation_accuracy(%),test_accuracy(%),ranks,# effective parameters,cr_test (%),# effective parameters train,cr_train (%),# effective parameters train with grads,cr_train_grads (%)
0,0,0.07,0.05,0.98,69.3766,0.349,89.8635,89.5471,"[10, 25, 99]",56084,87.0,660808,-53.5,850812,1.2
1,1,0.07,0.05,0.383,88.4934,0.41,87.4901,86.8869,"[10, 25, 99]",56084,87.0,660808,-53.5,850812,1.2
2,2,0.07,0.05,0.204,93.7803,0.153,95.1048,94.996,"[10, 25, 99]",56084,87.0,660808,-53.5,850812,1.2
3,3,0.07,0.05,0.285,92.3969,0.168,95.0949,95.0653,"[10, 25, 99]",56084,87.0,660808,-53.5,850812,1.2
4,4,0.07,0.05,0.161,94.9681,0.188,94.0763,94.2346,"[10, 25, 98]",55583,87.1,654032,-51.9,841948,2.2
5,5,0.07,0.05,0.139,95.7828,0.112,96.5882,96.5388,"[10, 25, 98]",55583,87.1,654032,-51.9,841948,2.2
6,6,0.07,0.05,0.134,95.8524,0.118,96.519,96.5981,"[10, 25, 98]",55583,87.1,654032,-51.9,841948,2.2
7,7,0.07,0.05,0.106,96.7175,0.093,97.1915,97.1717,"[10, 25, 98]",55583,87.1,654032,-51.9,841948,2.2
8,8,0.07,0.05,0.103,96.7983,0.099,97.2013,96.8849,"[10, 25, 98]",55583,87.1,654032,-51.9,841948,2.2
9,9,0.07,0.05,0.09,97.219,0.091,97.0926,97.0926,"[10, 25, 98]",55583,87.1,654032,-51.9,841948,2.2
10,10,0.07,0.05,0.085,97.3349,0.112,96.3805,96.4498,"[10, 25, 98]",55583,87.1,654032,-51.9,841948,2.2
11,11,0.07,0.05,0.468,88.9962,0.136,95.5795,95.6982,"[10, 25, 96]",54581,87.3,640528,-48.8,824292,4.3
12,12,0.07,0.05,0.126,96.0925,0.1,96.9739,96.9343,"[10, 25, 96]",54581,87.3,640528,-48.8,824292,4.3
13,13,0.07,0.05,0.116,96.4518,0.114,96.697,96.4201,"[10, 25, 96]",54581,87.3,640528,-48.8,824292,4.3
14,14,0.07,0.05,0.097,97.0955,0.089,97.2211,96.875,"[10, 25, 96]",54581,87.3,640528,-48.8,824292,4.3
15,15,0.07,0.05,0.083,97.3938,0.107,96.5388,96.3805,"[10, 25, 96]",54581,87.3,640528,-48.8,824292,4.3
16,16,0.07,0.05,0.092,97.1727,0.082,97.4684,97.3299,"[10, 25, 96]",54581,87.3,640528,-48.8,824292,4.3
17,17,0.07,0.05,0.079,97.635,0.084,97.32,97.3892,"[10, 25, 96]",54581,87.3,640528,-48.8,824292,4.3
18,18,0.07,0.05,0.071,97.7778,0.063,97.9529,98.0617,"[10, 25, 96]",54581,87.3,640528,-48.8,824292,4.3
19,19,0.07,0.05,0.058,98.2225,0.062,98.1112,98.1013,"[10, 25, 96]",54581,87.3,640528,-48.8,824292,4.3
