,epoch,theta,learning_rate,train_loss,train_accuracy(%),validation_loss,validation_accuracy(%),test_accuracy(%),ranks,# effective parameters,cr_test (%),# effective parameters train,cr_train (%),# effective parameters train with grads,cr_train_grads (%)
0,0,0.15,0.05,1.096,67.1363,0.338,89.7745,89.5174,"[7, 15, 28]",19940,95.4,193324,55.1,247521,71.3
1,1,0.15,0.05,0.333,90.3006,0.203,93.7797,93.6214,"[7, 15, 27]",19439,95.5,187684,56.4,240361,72.1
2,2,0.15,0.05,0.363,89.1632,0.172,94.5906,94.4225,"[7, 15, 27]",19439,95.5,187684,56.4,240361,72.1
3,3,0.15,0.05,0.233,92.9424,0.164,94.907,94.2544,"[7, 15, 27]",19439,95.5,187684,56.4,240361,72.1
4,4,0.15,0.05,0.205,93.8127,0.175,94.8576,94.7389,"[7, 15, 26]",18938,95.6,182060,57.7,233225,72.9
5,5,0.15,0.05,0.173,94.7358,0.884,77.146,77.591,"[7, 15, 26]",18938,95.6,182060,57.7,233225,72.9
6,6,0.15,0.05,0.15,95.46,0.102,96.6772,96.8948,"[7, 15, 26]",18938,95.6,182060,57.7,233225,72.9
7,7,0.15,0.05,0.092,97.1635,0.092,97.0728,96.964,"[7, 15, 26]",18938,95.6,182060,57.7,233225,72.9
8,8,0.15,0.05,0.154,95.7297,0.098,97.0332,96.4003,"[7, 15, 26]",18938,95.6,182060,57.7,233225,72.9
9,9,0.15,0.05,0.091,97.2303,0.128,95.9949,95.4509,"[7, 15, 26]",18938,95.6,182060,57.7,233225,72.9
10,10,0.15,0.05,0.361,89.9464,0.149,95.3224,94.9169,"[7, 15, 25]",18437,95.7,176452,59.0,226113,73.7
11,11,0.15,0.05,0.138,95.6965,0.106,96.7464,96.1135,"[7, 15, 25]",18437,95.7,176452,59.0,226113,73.7
12,12,0.15,0.05,0.107,96.6756,0.132,95.9652,96.074,"[7, 15, 25]",18437,95.7,176452,59.0,226113,73.7
13,13,0.15,0.05,0.113,96.3651,0.091,97.3101,96.964,"[7, 15, 25]",18437,95.7,176452,59.0,226113,73.7
14,14,0.15,0.05,0.076,97.6619,0.096,97.0332,96.9244,"[7, 15, 25]",18437,95.7,176452,59.0,226113,73.7
15,15,0.15,0.05,0.089,97.233,0.094,97.0827,97.0431,"[7, 14, 25]",18386,95.7,174020,59.6,223015,74.1
16,16,0.15,0.05,0.077,97.5851,0.079,97.6958,97.3892,"[7, 14, 25]",18386,95.7,174020,59.6,223015,74.1
17,17,0.15,0.05,0.063,97.9767,0.073,97.8441,97.7057,"[7, 14, 25]",18386,95.7,174020,59.6,223015,74.1
18,18,0.15,0.05,0.066,97.896,0.07,97.8936,97.8837,"[7, 14, 25]",18386,95.7,174020,59.6,223015,74.1
19,19,0.15,0.05,0.065,97.9207,0.084,97.5277,97.5672,"[7, 14, 25]",18386,95.7,174020,59.6,223015,74.1
