,epoch,theta,learning_rate,train_loss,train_accuracy(%),validation_loss,validation_accuracy(%),test_accuracy(%),ranks,# effective parameters,cr_test (%),# effective parameters train,cr_train (%),# effective parameters train with grads,cr_train_grads (%)
0,0,0.11,0.05,0.845,73.5018,0.251,92.0688,91.6436,"[10, 25, 44]",28529,93.4,311888,27.6,398932,53.7
1,1,0.11,0.05,0.226,93.0011,0.187,94.2247,94.1159,"[10, 24, 44]",28478,93.4,309296,28.2,395594,54.1
2,2,0.11,0.05,0.147,95.46,0.115,96.4597,96.6772,"[10, 23, 43]",27926,93.5,300824,30.1,384736,55.3
3,3,0.11,0.05,0.197,94.5665,0.224,93.5522,93.0578,"[10, 22, 42]",27374,93.6,292384,32.1,373926,56.6
4,4,0.11,0.05,0.151,95.2865,0.141,95.6784,95.5696,"[10, 21, 42]",27323,93.7,289840,32.7,370660,57.0
5,5,0.11,0.05,0.138,95.7437,0.108,96.8058,96.4893,"[10, 21, 42]",27323,93.7,289840,32.7,370660,57.0
6,6,0.11,0.05,0.095,96.9889,0.082,97.4585,97.3991,"[10, 21, 42]",27323,93.7,289840,32.7,370660,57.0
7,7,0.11,0.05,0.081,97.4085,0.085,97.2211,97.2706,"[10, 21, 42]",27323,93.7,289840,32.7,370660,57.0
8,8,0.11,0.05,0.184,94.3287,0.229,92.6523,92.8501,"[10, 21, 41]",26822,93.8,283976,34.0,363164,57.8
9,9,0.11,0.05,0.155,95.2298,0.134,96.0047,95.7377,"[10, 21, 41]",26822,93.8,283976,34.0,363164,57.8
10,10,0.11,0.05,0.15,95.492,0.096,96.9937,96.8256,"[10, 21, 41]",26822,93.8,283976,34.0,363164,57.8
11,11,0.11,0.05,0.086,97.1974,0.079,97.7057,97.4881,"[10, 21, 40]",26321,93.9,278128,35.4,355692,58.7
12,12,0.11,0.05,0.095,97.0072,0.078,97.7255,97.5079,"[10, 21, 40]",26321,93.9,278128,35.4,355692,58.7
13,13,0.11,0.05,0.127,96.125,0.153,95.4608,95.2631,"[10, 20, 40]",26270,93.9,275600,36.0,352450,59.1
14,14,0.11,0.05,0.249,93.121,0.15,95.1345,95.2729,"[10, 20, 40]",26270,93.9,275600,36.0,352450,59.1
15,15,0.11,0.05,0.344,90.6186,0.281,91.9304,91.1986,"[10, 20, 40]",26270,93.9,275600,36.0,352450,59.1
16,16,0.11,0.05,0.184,94.4633,0.114,96.608,96.5388,"[10, 20, 40]",26270,93.9,275600,36.0,352450,59.1
17,17,0.11,0.05,0.116,96.3679,0.144,95.2927,95.3718,"[10, 20, 40]",26270,93.9,275600,36.0,352450,59.1
18,18,0.11,0.05,0.091,97.2039,0.096,97.0431,96.8453,"[10, 20, 40]",26270,93.9,275600,36.0,352450,59.1
19,19,0.11,0.05,0.072,97.697,0.073,97.7848,97.5574,"[10, 20, 40]",26270,93.9,275600,36.0,352450,59.1
