,epoch,theta,learning_rate,train_loss,train_accuracy(%),validation_loss,validation_accuracy(%),test_accuracy(%),ranks,# effective parameters,cr_test (%),# effective parameters train,cr_train (%),# effective parameters train with grads,cr_train_grads (%)
0,0,0.11,0.05,1.055,67.4788,0.298,90.4371,91.2876,"[10, 21, 51]",31832,92.6,343336,20.2,439204,49.0
1,1,0.11,0.05,0.251,92.3281,0.147,95.1938,96.0641,"[10, 21, 50]",31331,92.7,337328,21.6,431492,49.9
2,2,0.11,0.05,0.17,94.6451,0.175,94.3137,94.373,"[10, 21, 49]",30830,92.8,331336,23.0,423804,50.8
3,3,0.11,0.05,0.124,96.21,0.101,96.786,97.2607,"[10, 20, 49]",30779,92.9,328808,23.6,420562,51.2
4,4,0.11,0.05,0.095,97.0352,0.082,97.4782,97.765,"[10, 20, 49]",30779,92.9,328808,23.6,420562,51.2
5,5,0.11,0.05,0.085,97.3765,0.098,97.1618,97.409,"[10, 20, 49]",30779,92.9,328808,23.6,420562,51.2
6,6,0.11,0.05,0.08,97.5251,0.075,97.587,98.1507,"[10, 20, 49]",30779,92.9,328808,23.6,420562,51.2
7,7,0.11,0.05,0.072,97.7509,0.075,97.7551,98.1112,"[10, 20, 49]",30779,92.9,328808,23.6,420562,51.2
8,8,0.11,0.05,0.065,98.0007,0.07,97.7156,98.21,"[10, 20, 48]",30278,93.0,322832,25.0,412898,52.0
9,9,0.11,0.05,0.066,97.9056,0.073,97.6958,98.121,"[10, 20, 48]",30278,93.0,322832,25.0,412898,52.0
10,10,0.11,0.05,0.058,98.1365,0.061,98.0716,98.5562,"[10, 20, 48]",30278,93.0,322832,25.0,412898,52.0
11,11,0.11,0.05,0.054,98.282,0.088,97.231,97.4585,"[10, 20, 48]",30278,93.0,322832,25.0,412898,52.0
12,12,0.11,0.05,0.063,97.95,0.068,97.8837,98.2694,"[10, 20, 48]",30278,93.0,322832,25.0,412898,52.0
13,13,0.11,0.05,0.058,98.1018,0.058,98.0716,98.5562,"[10, 20, 48]",30278,93.0,322832,25.0,412898,52.0
14,14,0.11,0.05,0.051,98.3903,0.087,97.2409,97.5672,"[10, 20, 48]",30278,93.0,322832,25.0,412898,52.0
15,15,0.11,0.05,0.048,98.4562,0.064,97.9134,98.1013,"[10, 20, 48]",30278,93.0,322832,25.0,412898,52.0
16,16,0.11,0.05,0.042,98.6433,0.048,98.4573,98.7144,"[10, 20, 48]",30278,93.0,322832,25.0,412898,52.0
17,17,0.11,0.05,0.047,98.5114,0.058,98.3188,98.6452,"[10, 20, 48]",30278,93.0,322832,25.0,412898,52.0
18,18,0.11,0.05,0.055,98.2916,0.071,97.9529,98.4177,"[10, 20, 48]",30278,93.0,322832,25.0,412898,52.0
19,19,0.11,0.05,0.056,98.2557,0.061,98.3188,98.5759,"[10, 20, 48]",30278,93.0,322832,25.0,412898,52.0
