,epoch,theta,learning_rate,train_loss,train_accuracy(%),validation_loss,validation_accuracy(%),test_accuracy(%),ranks,# effective parameters,cr_test (%),# effective parameters train,cr_train (%),# effective parameters train with grads,cr_train_grads (%)
0,0,0.4,0.05,1.911,33.6644,1.794,38.479,38.2516,"[3, 4, 5]",7772,98.2,40740,90.5,54775,93.6
1,1,0.4,0.05,0.582,81.4002,0.26,92.0787,91.8216,"[3, 4, 5]",7772,98.2,40740,90.5,54775,93.6
2,2,0.4,0.05,0.668,80.7588,0.308,91.0997,90.002,"[3, 4, 5]",7772,98.2,40740,90.5,54775,93.6
3,3,0.4,0.05,0.362,89.3774,0.55,83.2377,82.3477,"[3, 4, 5]",7772,98.2,40740,90.5,54775,93.6
4,4,0.4,0.05,0.418,87.2206,0.294,91.1294,90.3184,"[3, 4, 5]",7772,98.2,40740,90.5,54775,93.6
5,5,0.4,0.05,0.262,91.9881,0.267,91.4854,90.7437,"[3, 4, 5]",7772,98.2,40740,90.5,54775,93.6
6,6,0.4,0.05,0.208,93.7716,0.17,94.5807,94.2049,"[3, 3, 5]",7721,98.2,38484,91.1,51941,94.0
7,7,0.4,0.05,0.17,94.829,0.183,94.2544,93.8983,"[3, 3, 5]",7721,98.2,38484,91.1,51941,94.0
8,8,0.4,0.05,0.255,92.1303,0.204,93.8786,93.1665,"[3, 3, 4]",7220,98.3,33212,92.3,45333,94.7
9,9,0.4,0.05,0.185,94.3442,0.197,93.7302,93.5225,"[3, 3, 4]",7220,98.3,33212,92.3,45333,94.7
10,10,0.4,0.05,0.164,94.9968,0.153,95.1741,95.0554,"[3, 3, 4]",7220,98.3,33212,92.3,45333,94.7
11,11,0.4,0.05,0.15,95.4863,0.145,95.5202,95.2235,"[3, 3, 4]",7220,98.3,33212,92.3,45333,94.7
12,12,0.4,0.05,0.144,95.6394,0.128,96.1432,95.5993,"[3, 3, 4]",7220,98.3,33212,92.3,45333,94.7
13,13,0.4,0.05,0.133,96.0474,0.126,96.1036,95.7278,"[3, 3, 4]",7220,98.3,33212,92.3,45333,94.7
14,14,0.4,0.05,0.123,96.2456,0.113,96.3904,96.0938,"[3, 3, 4]",7220,98.3,33212,92.3,45333,94.7
15,15,0.4,0.05,0.121,96.3199,0.129,95.7971,95.7674,"[3, 3, 4]",7220,98.3,33212,92.3,45333,94.7
16,16,0.4,0.05,0.117,96.4638,0.127,95.9355,95.7377,"[3, 3, 4]",7220,98.3,33212,92.3,45333,94.7
17,17,0.4,0.05,0.112,96.6192,0.103,96.7959,96.4893,"[3, 3, 4]",7220,98.3,33212,92.3,45333,94.7
18,18,0.4,0.05,0.109,96.642,0.1,96.875,96.5289,"[3, 3, 4]",7220,98.3,33212,92.3,45333,94.7
19,19,0.4,0.05,0.109,96.6955,0.156,95.0257,94.5807,"[3, 3, 4]",7220,98.3,33212,92.3,45333,94.7
