,epoch,theta,learning_rate,train_loss,train_accuracy(%),validation_loss,validation_accuracy(%),test_accuracy(%),ranks,# effective parameters,cr_test (%),# effective parameters train,cr_train (%),# effective parameters train with grads,cr_train_grads (%)
0,0,0.4,0.05,1.077,63.846,0.353,88.8746,88.8449,"[4, 3, 5]",7742,98.2,38720,91.0,52250,93.9
1,1,0.4,0.05,0.294,90.7396,0.256,91.782,91.8117,"[4, 3, 5]",7742,98.2,38720,91.0,52250,93.9
2,2,0.4,0.05,0.325,90.2494,0.209,93.5918,93.1962,"[3, 3, 5]",7721,98.2,38484,91.1,51941,94.0
3,3,0.4,0.05,0.362,88.8391,1.83,42.0589,42.4446,"[3, 3, 5]",7721,98.2,38484,91.1,51941,94.0
4,4,0.4,0.05,0.434,86.3558,0.288,91.3766,90.8525,"[3, 3, 5]",7721,98.2,38484,91.1,51941,94.0
5,5,0.4,0.05,0.552,83.8851,0.36,88.5087,88.0736,"[3, 3, 5]",7721,98.2,38484,91.1,51941,94.0
6,6,0.4,0.05,0.33,89.4314,0.482,84.6519,85.0178,"[3, 3, 5]",7721,98.2,38484,91.1,51941,94.0
7,7,0.4,0.05,0.275,91.6297,0.195,93.8687,93.8291,"[3, 3, 5]",7721,98.2,38484,91.1,51941,94.0
8,8,0.4,0.05,0.175,94.6259,0.152,95.1741,94.9763,"[3, 3, 5]",7721,98.2,38484,91.1,51941,94.0
9,9,0.4,0.05,0.378,88.8863,1.288,55.6566,56.1511,"[3, 3, 5]",7721,98.2,38484,91.1,51941,94.0
10,10,0.4,0.05,0.544,83.7576,0.284,91.3172,91.0898,"[3, 3, 5]",7721,98.2,38484,91.1,51941,94.0
11,11,0.4,0.05,0.22,93.2621,0.195,94.3928,94.2642,"[3, 3, 5]",7721,98.2,38484,91.1,51941,94.0
12,12,0.4,0.05,0.187,94.3314,0.166,94.8378,94.4422,"[3, 3, 5]",7721,98.2,38484,91.1,51941,94.0
13,13,0.4,0.05,0.166,95.0024,0.172,94.4521,94.2544,"[3, 3, 5]",7721,98.2,38484,91.1,51941,94.0
14,14,0.4,0.05,0.16,95.0951,0.162,95.1048,95.0554,"[3, 3, 5]",7721,98.2,38484,91.1,51941,94.0
15,15,0.4,0.05,0.169,95.0108,0.146,95.6388,95.3422,"[3, 3, 5]",7721,98.2,38484,91.1,51941,94.0
16,16,0.4,0.05,0.134,95.8304,0.133,95.9157,95.5301,"[3, 3, 5]",7721,98.2,38484,91.1,51941,94.0
17,17,0.4,0.05,0.129,95.9315,0.139,95.718,95.2532,"[3, 3, 5]",7721,98.2,38484,91.1,51941,94.0
18,18,0.4,0.05,0.124,96.1549,0.124,96.0245,95.8366,"[3, 3, 5]",7721,98.2,38484,91.1,51941,94.0
19,19,0.4,0.05,0.116,96.4251,0.113,96.5783,96.1333,"[3, 3, 5]",7721,98.2,38484,91.1,51941,94.0
