,epoch,theta,learning_rate,train_loss,train_accuracy(%),validation_loss,validation_accuracy(%),test_accuracy(%),ranks,# effective parameters,cr_test (%),# effective parameters train,cr_train (%),# effective parameters train with grads,cr_train_grads (%)
0,0,0.09,0.05,1.075,67.1168,0.364,88.5186,88.39,"[10, 25, 67]",40052,90.7,451912,-5.0,579068,32.7
1,1,0.09,0.05,0.445,86.497,0.234,92.8995,93.1665,"[10, 25, 67]",40052,90.7,451912,-5.0,579068,32.7
2,2,0.09,0.05,0.204,93.9211,0.512,85.5419,85.9771,"[10, 25, 66]",39551,90.8,445648,-3.5,570972,33.7
3,3,0.09,0.05,0.236,92.9475,0.167,94.64,94.7093,"[10, 25, 66]",39551,90.8,445648,-3.5,570972,33.7
4,4,0.09,0.05,0.347,89.8873,0.25,92.0589,91.96,"[10, 25, 65]",39050,90.9,439400,-2.1,562900,34.6
5,5,0.09,0.05,0.163,95.0028,0.126,96.1135,95.9157,"[10, 25, 65]",39050,90.9,439400,-2.1,562900,34.6
6,6,0.09,0.05,0.113,96.499,0.105,96.786,96.3706,"[10, 25, 65]",39050,90.9,439400,-2.1,562900,34.6
7,7,0.09,0.05,0.094,97.1028,0.128,95.9751,95.5894,"[10, 25, 65]",39050,90.9,439400,-2.1,562900,34.6
8,8,0.09,0.05,0.183,94.3254,0.248,92.4743,92.7215,"[10, 25, 65]",39050,90.9,439400,-2.1,562900,34.6
9,9,0.09,0.05,0.189,94.1117,0.32,89.8635,90.2294,"[10, 25, 65]",39050,90.9,439400,-2.1,562900,34.6
10,10,0.09,0.05,0.202,93.8003,0.178,94.2346,94.6104,"[10, 25, 65]",39050,90.9,439400,-2.1,562900,34.6
11,11,0.09,0.05,0.116,96.3411,0.087,97.3695,97.1717,"[10, 25, 65]",39050,90.9,439400,-2.1,562900,34.6
12,12,0.09,0.05,0.079,97.6031,0.093,97.2706,96.9442,"[10, 25, 64]",38549,91.0,433168,-0.6,554852,35.6
13,13,0.09,0.05,0.193,94.2048,0.225,93.0083,93.1072,"[10, 25, 64]",38549,91.0,433168,-0.6,554852,35.6
14,14,0.09,0.05,0.106,96.8074,0.12,96.4003,96.2718,"[10, 25, 64]",38549,91.0,433168,-0.6,554852,35.6
15,15,0.09,0.05,0.078,97.5771,0.081,97.5178,97.5376,"[10, 25, 64]",38549,91.0,433168,-0.6,554852,35.6
16,16,0.09,0.05,0.074,97.7314,0.09,97.2805,96.964,"[10, 25, 64]",38549,91.0,433168,-0.6,554852,35.6
17,17,0.09,0.05,0.065,97.9736,0.066,98.0419,98.0815,"[10, 25, 64]",38549,91.0,433168,-0.6,554852,35.6
18,18,0.09,0.05,0.055,98.2105,0.067,98.1507,98.0222,"[10, 25, 64]",38549,91.0,433168,-0.6,554852,35.6
19,19,0.09,0.05,0.053,98.3592,0.062,98.1705,98.121,"[10, 25, 64]",38549,91.0,433168,-0.6,554852,35.6
