,epoch,theta,learning_rate,train_loss,train_accuracy(%),validation_loss,validation_accuracy(%),test_accuracy(%),ranks,# effective parameters,cr_test (%),# effective parameters train,cr_train (%),# effective parameters train with grads,cr_train_grads (%)
0,0,0.15,0.05,1.114,64.7718,0.52,83.4355,83.3465,"[8, 16, 28]",20012,95.4,196072,54.5,251048,70.8
1,1,0.15,0.05,0.369,88.8104,0.232,92.7907,92.8896,"[8, 16, 27]",19511,95.5,190432,55.8,243888,71.7
2,2,0.15,0.05,0.176,94.5924,0.158,95.1938,94.9367,"[8, 15, 27]",19460,95.5,187984,56.3,240766,72.0
3,3,0.15,0.05,0.127,96.051,0.134,95.9157,95.7377,"[8, 15, 27]",19460,95.5,187984,56.3,240766,72.0
4,4,0.15,0.05,0.098,97.0145,0.1,96.875,96.7267,"[8, 15, 27]",19460,95.5,187984,56.3,240766,72.0
5,5,0.15,0.05,0.085,97.4181,0.083,97.5079,97.1816,"[8, 15, 27]",19460,95.5,187984,56.3,240766,72.0
6,6,0.15,0.05,0.073,97.7098,0.091,97.2013,97.2211,"[8, 15, 27]",19460,95.5,187984,56.3,240766,72.0
7,7,0.15,0.05,0.074,97.7178,0.069,97.6958,97.7255,"[8, 15, 27]",19460,95.5,187984,56.3,240766,72.0
8,8,0.15,0.05,0.065,97.9287,0.071,97.7255,97.7156,"[8, 15, 27]",19460,95.5,187984,56.3,240766,72.0
9,9,0.15,0.05,0.06,98.1142,0.065,97.8738,97.9134,"[8, 15, 27]",19460,95.5,187984,56.3,240766,72.0
10,10,0.15,0.05,0.057,98.2357,0.06,98.1408,97.943,"[8, 15, 27]",19460,95.5,187984,56.3,240766,72.0
11,11,0.15,0.05,0.062,98.0786,0.068,97.9134,97.6958,"[8, 15, 27]",19460,95.5,187984,56.3,240766,72.0
12,12,0.15,0.05,0.05,98.4471,0.062,98.1606,97.7947,"[8, 15, 27]",19460,95.5,187984,56.3,240766,72.0
13,13,0.15,0.05,0.058,98.2161,0.117,96.43,96.1729,"[8, 15, 27]",19460,95.5,187984,56.3,240766,72.0
14,14,0.15,0.05,0.072,97.7358,0.065,98.0222,97.7749,"[8, 15, 26]",18959,95.6,182360,57.6,233630,72.9
15,15,0.15,0.05,0.51,88.195,0.238,92.5435,92.4941,"[7, 14, 25]",18386,95.7,174020,59.6,223015,74.1
16,16,0.15,0.05,0.187,94.3958,0.116,96.1729,96.5091,"[7, 14, 25]",18386,95.7,174020,59.6,223015,74.1
17,17,0.15,0.05,0.101,96.883,0.081,97.4189,97.2607,"[7, 14, 25]",18386,95.7,174020,59.6,223015,74.1
18,18,0.15,0.05,0.088,97.2323,0.08,97.5376,97.4288,"[7, 14, 24]",17885,95.8,168428,60.9,215927,74.9
19,19,0.15,0.05,0.075,97.7046,0.073,97.7156,97.8046,"[7, 14, 24]",17885,95.8,168428,60.9,215927,74.9
