,epoch,theta,learning_rate,train_loss,train_accuracy(%),validation_loss,validation_accuracy(%),test_accuracy(%),ranks,# effective parameters,cr_test (%),# effective parameters train,cr_train (%),# effective parameters train with grads,cr_train_grads (%)
0,0,0.09,0.05,0.76,76.28,0.228,92.7611,92.7116,"[10, 25, 70]",41555,90.3,470800,-9.4,603500,29.9
1,1,0.09,0.05,0.252,92.1479,0.258,91.9205,91.6634,"[10, 24, 70]",41504,90.4,468208,-8.8,600162,30.3
2,2,0.09,0.05,0.33,90.7185,0.23,92.8303,92.4446,"[10, 22, 70]",41402,90.4,463072,-7.6,593558,31.1
3,3,0.09,0.05,0.176,94.5129,0.15,95.3817,95.4608,"[10, 22, 70]",41402,90.4,463072,-7.6,593558,31.1
4,4,0.09,0.05,0.143,95.5486,0.108,96.6377,96.8552,"[10, 22, 70]",41402,90.4,463072,-7.6,593558,31.1
5,5,0.09,0.05,0.108,96.6496,0.096,96.9937,96.8453,"[10, 22, 70]",41402,90.4,463072,-7.6,593558,31.1
6,6,0.09,0.05,0.103,96.7787,0.106,96.7069,96.7069,"[10, 22, 70]",41402,90.4,463072,-7.6,593558,31.1
7,7,0.09,0.05,0.098,96.9377,0.122,96.1333,96.0344,"[10, 22, 70]",41402,90.4,463072,-7.6,593558,31.1
8,8,0.09,0.05,0.085,97.2702,0.067,97.8343,97.9925,"[10, 21, 70]",41351,90.4,460528,-7.0,590292,31.4
9,9,0.09,0.05,0.076,97.6319,0.084,97.4189,97.2211,"[10, 21, 70]",41351,90.4,460528,-7.0,590292,31.4
10,10,0.09,0.05,0.087,97.1903,0.125,95.7278,96.4201,"[10, 20, 70]",41300,90.4,458000,-6.4,587050,31.8
11,11,0.09,0.05,0.327,92.1871,0.139,95.7377,95.4905,"[10, 20, 69]",40799,90.5,451688,-4.9,578882,32.8
12,12,0.09,0.05,0.117,96.3895,0.153,95.4806,95.2729,"[10, 20, 69]",40799,90.5,451688,-4.9,578882,32.8
13,13,0.09,0.05,0.165,95.1919,0.123,96.0542,95.9751,"[10, 20, 69]",40799,90.5,451688,-4.9,578882,32.8
14,14,0.09,0.05,0.104,96.8011,0.092,97.1618,96.8849,"[10, 20, 69]",40799,90.5,451688,-4.9,578882,32.8
15,15,0.09,0.05,0.096,97.0276,0.086,97.4881,97.4684,"[10, 20, 69]",40799,90.5,451688,-4.9,578882,32.8
16,16,0.09,0.05,0.08,97.4448,0.103,96.8058,96.4201,"[10, 20, 69]",40799,90.5,451688,-4.9,578882,32.8
17,17,0.09,0.05,0.069,97.8916,0.062,97.9529,97.8837,"[10, 19, 69]",40748,90.5,449176,-4.3,575664,33.1
18,18,0.09,0.05,0.061,98.1345,0.053,98.3485,98.0518,"[10, 19, 69]",40748,90.5,449176,-4.3,575664,33.1
19,19,0.09,0.05,0.053,98.3796,0.06,98.2496,98.1507,"[10, 19, 69]",40748,90.5,449176,-4.3,575664,33.1
