,epoch,theta,learning_rate,train_loss,train_accuracy(%),validation_loss,validation_accuracy(%),test_accuracy(%),ranks,# effective parameters,cr_test (%),# effective parameters train,cr_train (%),# effective parameters train with grads,cr_train_grads (%)
0,0,0.13,0.05,1.02,67.9468,0.331,90.0218,90.269,"[10, 20, 40]",26270,93.9,275600,36.0,352450,59.1
1,1,0.13,0.05,0.853,72.874,0.578,81.2302,81.7939,"[10, 20, 40]",26270,93.9,275600,36.0,352450,59.1
2,2,0.13,0.05,0.609,82.0932,1.29,60.9672,61.3726,"[10, 20, 39]",25769,94.0,269768,37.3,345002,59.9
3,3,0.13,0.05,0.308,90.5267,0.19,93.8687,94.106,"[10, 20, 39]",25769,94.0,269768,37.3,345002,59.9
4,4,0.13,0.05,0.196,94.0861,0.15,95.5103,95.7575,"[10, 20, 39]",25769,94.0,269768,37.3,345002,59.9
5,5,0.13,0.05,0.192,94.2483,0.131,96.074,96.4597,"[10, 20, 39]",25769,94.0,269768,37.3,345002,59.9
6,6,0.13,0.05,0.198,94.3962,6.394,35.4134,35.71,"[10, 20, 39]",25769,94.0,269768,37.3,345002,59.9
7,7,0.13,0.05,0.347,90.4264,0.186,94.3038,94.284,"[10, 20, 39]",25769,94.0,269768,37.3,345002,59.9
8,8,0.13,0.05,0.152,95.3058,0.124,96.341,96.2223,"[10, 20, 38]",25268,94.1,263952,38.7,337578,60.8
9,9,0.13,0.05,0.394,90.014,0.27,91.6634,91.8513,"[10, 20, 38]",25268,94.1,263952,38.7,337578,60.8
10,10,0.13,0.05,0.168,94.8074,0.124,96.3805,96.3311,"[10, 20, 38]",25268,94.1,263952,38.7,337578,60.8
11,11,0.13,0.05,0.136,95.9595,0.106,96.9739,96.9146,"[10, 20, 37]",24767,94.2,258152,40.0,330178,61.7
12,12,0.13,0.05,0.106,96.7008,0.103,96.8058,96.7959,"[10, 20, 37]",24767,94.2,258152,40.0,330178,61.7
13,13,0.13,0.05,0.085,97.3705,0.079,97.5475,97.498,"[10, 20, 37]",24767,94.2,258152,40.0,330178,61.7
14,14,0.13,0.05,0.082,97.502,0.08,97.4684,97.6365,"[10, 20, 37]",24767,94.2,258152,40.0,330178,61.7
15,15,0.13,0.05,0.076,97.5796,0.082,97.6167,97.4881,"[10, 20, 37]",24767,94.2,258152,40.0,330178,61.7
16,16,0.13,0.05,0.067,97.9612,0.083,97.5574,97.3892,"[10, 20, 37]",24767,94.2,258152,40.0,330178,61.7
17,17,0.13,0.05,0.208,94.8106,0.227,93.1764,93.4434,"[10, 20, 37]",24767,94.2,258152,40.0,330178,61.7
18,18,0.13,0.05,0.156,95.0991,0.116,96.4893,96.5487,"[10, 20, 37]",24767,94.2,258152,40.0,330178,61.7
19,19,0.13,0.05,0.097,96.9602,0.107,96.786,96.6377,"[10, 20, 37]",24767,94.2,258152,40.0,330178,61.7
