,epoch,theta,learning_rate,train_loss,train_accuracy(%),validation_loss,validation_accuracy(%),test_accuracy(%),ranks,# effective parameters,cr_test (%),# effective parameters train,cr_train (%),# effective parameters train with grads,cr_train_grads (%)
0,0,0.3,0.05,1.289,57.012,0.493,86.0364,85.9771,"[5, 7, 9]",9971,97.7,69340,83.9,90735,89.5
1,1,0.3,0.05,0.439,87.0312,0.277,91.3074,91.3271,"[5, 7, 8]",9470,97.8,64004,85.1,84031,90.2
2,2,0.3,0.05,0.346,89.5424,0.237,92.7907,93.3248,"[5, 7, 8]",9470,97.8,64004,85.1,84031,90.2
3,3,0.3,0.05,0.222,93.2988,0.347,90.7437,90.714,"[5, 7, 8]",9470,97.8,64004,85.1,84031,90.2
4,4,0.3,0.05,0.2,93.8399,0.191,93.5225,93.6907,"[5, 7, 8]",9470,97.8,64004,85.1,84031,90.2
5,5,0.3,0.05,0.138,95.7149,0.135,95.8762,95.9157,"[5, 7, 8]",9470,97.8,64004,85.1,84031,90.2
6,6,0.3,0.05,0.126,96.089,0.163,94.7389,94.5807,"[5, 7, 8]",9470,97.8,64004,85.1,84031,90.2
7,7,0.3,0.05,0.132,95.9691,0.144,95.3916,95.5894,"[5, 6, 8]",9419,97.8,61700,85.7,81125,90.6
8,8,0.3,0.05,0.102,96.9033,0.106,96.4003,97.0036,"[5, 6, 8]",9419,97.8,61700,85.7,81125,90.6
9,9,0.3,0.05,0.088,97.3262,0.093,97.1519,97.4189,"[5, 6, 8]",9419,97.8,61700,85.7,81125,90.6
10,10,0.3,0.05,0.093,97.1835,0.112,96.2718,96.4893,"[5, 6, 8]",9419,97.8,61700,85.7,81125,90.6
11,11,0.3,0.05,0.082,97.4952,0.084,97.3497,97.6365,"[5, 6, 8]",9419,97.8,61700,85.7,81125,90.6
12,12,0.3,0.05,0.074,97.7146,0.11,96.5388,96.7267,"[5, 6, 8]",9419,97.8,61700,85.7,81125,90.6
13,13,0.3,0.05,0.121,96.2892,0.114,96.3608,96.5585,"[5, 5, 8]",9368,97.8,59412,86.2,78243,90.9
14,14,0.3,0.05,0.099,97.0664,0.09,97.053,97.4486,"[5, 5, 8]",9368,97.8,59412,86.2,78243,90.9
15,15,0.3,0.05,0.135,95.9243,0.106,96.7563,96.8849,"[5, 5, 8]",9368,97.8,59412,86.2,78243,90.9
16,16,0.3,0.05,0.089,97.3162,0.097,96.9343,97.3002,"[5, 5, 8]",9368,97.8,59412,86.2,78243,90.9
17,17,0.3,0.05,0.087,97.3022,0.144,95.3422,96.1234,"[5, 5, 8]",9368,97.8,59412,86.2,78243,90.9
18,18,0.3,0.05,0.578,88.5846,0.913,74.7231,74.2979,"[5, 5, 7]",8867,97.9,54092,87.4,71563,91.7
19,19,0.3,0.05,0.45,87.3222,0.236,92.8896,92.8006,"[5, 5, 7]",8867,97.9,54092,87.4,71563,91.7
