,epoch,theta,learning_rate,train_loss,train_accuracy(%),validation_loss,validation_accuracy(%),test_accuracy(%),ranks,# effective parameters,cr_test (%),# effective parameters train,cr_train (%),# effective parameters train with grads,cr_train_grads (%)
0,0,0.4,0.05,1.29,54.9393,0.595,79.7468,80.1028,"[3, 4, 4]",7271,98.3,35468,91.8,48167,94.4
1,1,0.4,0.05,0.428,86.2092,0.344,89.1218,89.1021,"[3, 4, 4]",7271,98.3,35468,91.8,48167,94.4
2,2,0.4,0.05,0.299,90.5563,0.286,90.8426,90.5162,"[3, 4, 4]",7271,98.3,35468,91.8,48167,94.4
3,3,0.4,0.05,0.242,92.5771,0.284,90.8426,90.9118,"[3, 4, 4]",7271,98.3,35468,91.8,48167,94.4
4,4,0.4,0.05,0.206,93.7213,0.174,94.6104,94.9268,"[3, 4, 4]",7271,98.3,35468,91.8,48167,94.4
5,5,0.4,0.05,0.188,94.2003,0.263,91.782,91.782,"[3, 4, 4]",7271,98.3,35468,91.8,48167,94.4
6,6,0.4,0.05,0.169,94.7746,0.243,92.3062,92.2963,"[3, 4, 4]",7271,98.3,35468,91.8,48167,94.4
7,7,0.4,0.05,0.161,95.0571,0.15,95.2729,95.2828,"[3, 4, 4]",7271,98.3,35468,91.8,48167,94.4
8,8,0.4,0.05,0.151,95.3172,0.138,95.7971,95.8169,"[2, 4, 4]",7250,98.3,35248,91.8,47882,94.4
9,9,0.4,0.05,0.145,95.575,0.137,95.8169,95.7872,"[2, 4, 4]",7250,98.3,35248,91.8,47882,94.4
10,10,0.4,0.05,0.139,95.7564,0.133,95.9256,95.985,"[2, 4, 4]",7250,98.3,35248,91.8,47882,94.4
11,11,0.4,0.05,0.133,95.88,0.121,96.1036,96.3904,"[2, 4, 4]",7250,98.3,35248,91.8,47882,94.4
12,12,0.4,0.05,0.128,96.0794,0.123,96.2322,96.0344,"[2, 4, 4]",7250,98.3,35248,91.8,47882,94.4
13,13,0.4,0.05,0.122,96.224,0.116,96.3904,96.519,"[2, 4, 4]",7250,98.3,35248,91.8,47882,94.4
14,14,0.4,0.05,0.12,96.2543,0.147,95.2828,95.3817,"[2, 4, 4]",7250,98.3,35248,91.8,47882,94.4
15,15,0.4,0.05,0.116,96.3523,0.115,96.5388,96.5783,"[2, 4, 4]",7250,98.3,35248,91.8,47882,94.4
16,16,0.4,0.05,0.115,96.4147,0.108,96.7168,96.6475,"[2, 4, 4]",7250,98.3,35248,91.8,47882,94.4
17,17,0.4,0.05,0.111,96.5206,0.109,96.7267,96.5487,"[2, 4, 4]",7250,98.3,35248,91.8,47882,94.4
18,18,0.4,0.05,0.109,96.5673,0.204,93.4731,93.0775,"[2, 4, 4]",7250,98.3,35248,91.8,47882,94.4
19,19,0.4,0.05,0.107,96.6952,0.102,96.964,97.0629,"[2, 4, 4]",7250,98.3,35248,91.8,47882,94.4
