,epoch,theta,learning_rate,train_loss,train_accuracy(%),validation_loss,validation_accuracy(%),test_accuracy(%),ranks,# effective parameters,cr_test (%),# effective parameters train,cr_train (%),# effective parameters train with grads,cr_train_grads (%)
0,0,0.3,0.05,1.064,65.1694,1.066,60.7397,59.8497,"[5, 6, 8]",9419,97.8,61700,85.7,81125,90.6
1,1,0.3,0.05,0.478,85.269,1.509,47.943,48.5364,"[5, 6, 8]",9419,97.8,61700,85.7,81125,90.6
2,2,0.3,0.05,0.459,85.633,0.268,91.4953,91.8216,"[5, 6, 8]",9419,97.8,61700,85.7,81125,90.6
3,3,0.3,0.05,0.199,93.8452,0.154,95.2235,95.4312,"[5, 6, 8]",9419,97.8,61700,85.7,81125,90.6
4,4,0.3,0.05,0.179,94.5856,0.404,88.0736,88.2812,"[4, 6, 8]",9398,97.8,61448,85.7,80792,90.6
5,5,0.3,0.05,0.178,94.5608,0.14,95.9553,95.5894,"[4, 6, 8]",9398,97.8,61448,85.7,80792,90.6
6,6,0.3,0.05,0.17,94.9705,0.147,95.3916,95.3619,"[4, 6, 8]",9398,97.8,61448,85.7,80792,90.6
7,7,0.3,0.05,0.119,96.3308,0.186,94.284,94.0467,"[4, 6, 8]",9398,97.8,61448,85.7,80792,90.6
8,8,0.3,0.05,0.38,89.6763,0.207,93.5918,93.305,"[4, 6, 8]",9398,97.8,61448,85.7,80792,90.6
9,9,0.3,0.05,0.379,88.7216,0.338,88.1725,88.0044,"[4, 6, 8]",9398,97.8,61448,85.7,80792,90.6
10,10,0.3,0.05,0.215,93.4143,0.148,95.2037,95.4114,"[4, 6, 8]",9398,97.8,61448,85.7,80792,90.6
11,11,0.3,0.05,0.322,91.4642,0.148,95.6487,95.3619,"[4, 6, 8]",9398,97.8,61448,85.7,80792,90.6
12,12,0.3,0.05,0.156,95.2742,0.122,96.3509,96.697,"[4, 6, 8]",9398,97.8,61448,85.7,80792,90.6
13,13,0.3,0.05,0.109,96.6992,0.098,96.9739,97.1519,"[4, 6, 8]",9398,97.8,61448,85.7,80792,90.6
14,14,0.3,0.05,0.091,97.1863,0.091,97.1717,97.2013,"[4, 6, 8]",9398,97.8,61448,85.7,80792,90.6
15,15,0.3,0.05,0.082,97.4321,0.079,97.5672,97.8343,"[4, 6, 8]",9398,97.8,61448,85.7,80792,90.6
16,16,0.3,0.05,0.09,97.2506,0.091,97.3794,97.4881,"[4, 6, 8]",9398,97.8,61448,85.7,80792,90.6
17,17,0.3,0.05,0.081,97.4937,0.095,97.0134,97.4288,"[4, 6, 8]",9398,97.8,61448,85.7,80792,90.6
18,18,0.3,0.05,0.088,97.2163,0.189,94.0269,94.1555,"[4, 6, 8]",9398,97.8,61448,85.7,80792,90.6
19,19,0.3,0.05,0.149,95.3964,0.118,96.3509,96.2816,"[4, 6, 8]",9398,97.8,61448,85.7,80792,90.6
