,epoch,theta,learning_rate,train_loss,train_accuracy(%),validation_loss,validation_accuracy(%),test_accuracy(%),ranks,# effective parameters,cr_test (%),# effective parameters train,cr_train (%),# effective parameters train with grads,cr_train_grads (%)
0,0,0.13,0.05,1.064,67.3797,0.684,77.7393,77.858,"[10, 20, 39]",25769,94.0,269768,37.3,345002,59.9
1,1,0.13,0.05,0.384,88.5902,0.279,92.0985,91.9205,"[10, 20, 38]",25268,94.1,263952,38.7,337578,60.8
2,2,0.13,0.05,0.36,89.1092,0.277,91.2282,91.1491,"[10, 20, 37]",24767,94.2,258152,40.0,330178,61.7
3,3,0.13,0.05,0.216,93.4047,0.149,95.3619,95.6784,"[10, 20, 37]",24767,94.2,258152,40.0,330178,61.7
4,4,0.13,0.05,0.134,95.8204,0.144,95.2433,95.1642,"[10, 20, 37]",24767,94.2,258152,40.0,330178,61.7
5,5,0.13,0.05,0.14,95.5959,0.154,95.2235,95.2433,"[10, 20, 37]",24767,94.2,258152,40.0,330178,61.7
6,6,0.13,0.05,0.177,94.7937,0.125,96.2025,96.074,"[10, 20, 36]",24266,94.4,252368,41.4,322802,62.5
7,7,0.13,0.05,0.127,95.9942,0.141,95.2927,95.7081,"[10, 20, 36]",24266,94.4,252368,41.4,322802,62.5
8,8,0.13,0.05,0.155,95.0795,0.146,94.9367,95.5498,"[10, 20, 36]",24266,94.4,252368,41.4,322802,62.5
9,9,0.13,0.05,0.143,95.5946,0.122,96.2322,96.7069,"[10, 20, 36]",24266,94.4,252368,41.4,322802,62.5
10,10,0.13,0.05,0.195,94.4154,0.418,86.8078,86.9264,"[10, 19, 35]",23714,94.5,244088,43.3,312232,63.7
11,11,0.13,0.05,0.186,94.1743,0.116,96.3113,96.3706,"[10, 19, 35]",23714,94.5,244088,43.3,312232,63.7
12,12,0.13,0.05,0.102,96.8506,0.148,95.1741,95.2037,"[10, 19, 35]",23714,94.5,244088,43.3,312232,63.7
13,13,0.13,0.05,0.187,94.2791,0.111,96.7069,96.6179,"[10, 19, 34]",23213,94.6,238336,44.6,304904,64.6
14,14,0.13,0.05,0.091,97.2134,0.084,97.4387,97.3892,"[10, 19, 34]",23213,94.6,238336,44.6,304904,64.6
15,15,0.13,0.05,0.067,97.9396,0.087,97.1222,97.1717,"[10, 19, 34]",23213,94.6,238336,44.6,304904,64.6
16,16,0.13,0.05,0.06,98.1385,0.066,97.8738,97.9331,"[9, 19, 34]",23192,94.6,238004,44.7,304451,64.6
17,17,0.13,0.05,0.056,98.2604,0.061,98.0815,98.0222,"[9, 19, 34]",23192,94.6,238004,44.7,304451,64.6
18,18,0.13,0.05,0.052,98.3948,0.073,97.854,97.8441,"[9, 19, 34]",23192,94.6,238004,44.7,304451,64.6
19,19,0.13,0.05,0.05,98.4063,0.059,98.121,98.1804,"[9, 19, 34]",23192,94.6,238004,44.7,304451,64.6
