,epoch,cr layerwise,cross val,learning_rate,train_loss,train_accuracy(%),top_5_accuracy(%),test_accuracy(%),top_5_test_accuracy(%),ranks,# effective parameters,cr_test (%),# effective parameters train,cr_train (%),# effective parameters train with grads,cr_train_grads (%)
0,0,Baseline,0,0.05,0.57,82.9917,97.1859,93.2061,99.7627,[],430500,0.0,430500,0.0,861000,0.0
1,1,Baseline,0,0.05,0.117,96.4583,99.93,96.8354,99.9209,[],430500,0.0,430500,0.0,861000,0.0
2,2,Baseline,0,0.05,0.078,97.565,99.9567,97.9826,99.9605,[],430500,0.0,430500,0.0,861000,0.0
3,3,Baseline,0,0.05,0.061,98.1233,99.9733,98.2397,99.9506,[],430500,0.0,430500,0.0,861000,0.0
4,4,Baseline,0,0.05,0.051,98.4367,99.9783,97.9628,99.9605,[],430500,0.0,430500,0.0,861000,0.0
5,5,Baseline,0,0.05,0.044,98.6017,99.9833,98.6353,99.9605,[],430500,0.0,430500,0.0,861000,0.0
6,6,Baseline,0,0.05,0.039,98.7917,99.9883,98.2892,99.9407,[],430500,0.0,430500,0.0,861000,0.0
7,7,Baseline,0,0.05,0.034,98.97,99.9917,98.6057,99.9803,[],430500,0.0,430500,0.0,861000,0.0
8,8,Baseline,0,0.05,0.031,99.045,99.9967,98.4276,99.9704,[],430500,0.0,430500,0.0,861000,0.0
9,9,Baseline,0,0.05,0.028,99.1233,99.9933,98.7936,99.9803,[],430500,0.0,430500,0.0,861000,0.0
