,epoch,theta,learning_rate,train_loss,train_accuracy(%),validation_loss,validation_accuracy(%),test_accuracy(%),ranks,# effective parameters,cr_test (%),# effective parameters train,cr_train (%),# effective parameters train with grads,cr_train_grads (%)
0,0,0.13,0.05,0.975,69.6799,1.038,74.3176,74.0012,"[10, 17, 39]",25616,94.0,262280,39.1,335420,61.0
1,1,0.13,0.05,0.523,85.6054,0.425,85.9869,85.6903,"[10, 17, 39]",25616,94.0,262280,39.1,335420,61.0
2,2,0.13,0.05,0.227,92.9751,0.748,74.6638,74.4462,"[10, 17, 38]",25115,94.2,256464,40.4,327996,61.9
3,3,0.13,0.05,0.201,93.8243,0.172,95.0752,94.5807,"[10, 17, 38]",25115,94.2,256464,40.4,327996,61.9
4,4,0.13,0.05,0.172,95.012,0.178,94.6994,94.3137,"[10, 16, 38]",25064,94.2,254000,41.0,324850,62.3
5,5,0.13,0.05,0.134,95.9155,0.122,96.1531,96.0443,"[10, 16, 38]",25064,94.2,254000,41.0,324850,62.3
6,6,0.13,0.05,0.099,96.927,0.103,96.8256,96.4003,"[10, 16, 38]",25064,94.2,254000,41.0,324850,62.3
7,7,0.13,0.05,0.105,96.7039,0.099,96.9838,96.5388,"[10, 15, 38]",25013,94.2,251552,41.6,321728,62.6
8,8,0.13,0.05,0.083,97.4192,0.109,96.7563,96.3904,"[10, 15, 38]",25013,94.2,251552,41.6,321728,62.6
9,9,0.13,0.05,0.093,97.1032,0.109,96.608,96.0641,"[10, 15, 38]",25013,94.2,251552,41.6,321728,62.6
10,10,0.13,0.05,0.086,97.3022,0.084,97.498,97.231,"[10, 15, 38]",25013,94.2,251552,41.6,321728,62.6
11,11,0.13,0.05,0.142,95.7413,0.111,96.6377,96.0047,"[10, 15, 38]",25013,94.2,251552,41.6,321728,62.6
12,12,0.13,0.05,0.095,97.136,0.101,96.9146,96.5882,"[10, 15, 38]",25013,94.2,251552,41.6,321728,62.6
13,13,0.13,0.05,0.081,97.492,0.078,97.6563,97.1321,"[10, 15, 38]",25013,94.2,251552,41.6,321728,62.6
14,14,0.13,0.05,0.073,97.7877,0.091,97.1915,96.4102,"[10, 15, 38]",25013,94.2,251552,41.6,321728,62.6
15,15,0.13,0.05,0.064,97.9547,0.071,97.7255,97.3596,"[10, 15, 38]",25013,94.2,251552,41.6,321728,62.6
16,16,0.13,0.05,0.063,98.0415,0.083,97.4288,97.1123,"[10, 15, 38]",25013,94.2,251552,41.6,321728,62.6
17,17,0.13,0.05,0.064,98.0183,0.087,97.3398,96.7168,"[10, 14, 38]",24962,94.2,249120,42.1,318630,63.0
18,18,0.13,0.05,0.057,98.2161,0.064,98.032,97.2013,"[10, 14, 38]",24962,94.2,249120,42.1,318630,63.0
19,19,0.13,0.05,0.053,98.3688,0.075,97.7354,97.1519,"[10, 14, 38]",24962,94.2,249120,42.1,318630,63.0
