,epoch,theta,learning_rate,train_loss,train_accuracy(%),validation_loss,validation_accuracy(%),test_accuracy(%),ranks,# effective parameters,cr_test (%),# effective parameters train,cr_train (%),# effective parameters train with grads,cr_train_grads (%)
0,0,0.45,0.05,1.777,37.3638,0.917,66.5843,67.4347,"[4, 3, 3]",6740,98.4,28192,93.5,39058,95.5
1,1,0.45,0.05,0.692,75.8715,0.623,79.4106,80.1523,"[3, 3, 3]",6719,98.4,27956,93.5,38749,95.5
2,2,0.45,0.05,0.781,73.4947,0.553,82.0214,82.4664,"[3, 3, 3]",6719,98.4,27956,93.5,38749,95.5
3,3,0.45,0.05,0.477,84.4821,0.414,86.5605,87.6483,"[3, 3, 3]",6719,98.4,27956,93.5,38749,95.5
4,4,0.45,0.05,0.395,87.3098,0.388,87.8362,88.7856,"[3, 3, 3]",6719,98.4,27956,93.5,38749,95.5
5,5,0.45,0.05,0.341,89.1368,0.352,88.835,89.3295,"[3, 3, 3]",6719,98.4,27956,93.5,38749,95.5
6,6,0.45,0.05,0.312,90.0863,0.296,90.6646,91.5447,"[3, 3, 3]",6719,98.4,27956,93.5,38749,95.5
7,7,0.45,0.05,0.289,90.8168,0.459,83.9695,84.9486,"[3, 3, 3]",6719,98.4,27956,93.5,38749,95.5
8,8,0.45,0.05,0.273,91.4322,0.283,90.9909,91.7919,"[3, 3, 3]",6719,98.4,27956,93.5,38749,95.5
9,9,0.45,0.05,0.258,91.9345,0.281,90.9711,91.7326,"[3, 3, 3]",6719,98.4,27956,93.5,38749,95.5
10,10,0.45,0.05,0.245,92.3769,0.279,91.2777,91.6139,"[3, 3, 3]",6719,98.4,27956,93.5,38749,95.5
11,11,0.45,0.05,0.241,92.5907,0.32,89.6163,90.1404,"[3, 3, 3]",6719,98.4,27956,93.5,38749,95.5
12,12,0.45,0.05,0.227,93.0031,0.251,92.2172,93.1665,"[3, 3, 3]",6719,98.4,27956,93.5,38749,95.5
13,13,0.45,0.05,0.22,93.1758,0.243,92.4347,93.2456,"[3, 3, 3]",6719,98.4,27956,93.5,38749,95.5
14,14,0.45,0.05,0.213,93.356,0.21,93.4533,94.1258,"[3, 3, 3]",6719,98.4,27956,93.5,38749,95.5
15,15,0.45,0.05,0.208,93.5318,0.215,93.1863,93.6017,"[3, 3, 3]",6719,98.4,27956,93.5,38749,95.5
16,16,0.45,0.05,0.203,93.7228,0.2,93.6313,93.8983,"[3, 3, 3]",6719,98.4,27956,93.5,38749,95.5
17,17,0.45,0.05,0.199,93.9066,0.191,93.9873,94.2642,"[3, 3, 3]",6719,98.4,27956,93.5,38749,95.5
18,18,0.45,0.05,0.19,94.1216,0.227,92.8699,93.5028,"[3, 3, 3]",6719,98.4,27956,93.5,38749,95.5
19,19,0.45,0.05,0.188,94.2435,0.323,89.6756,89.9426,"[3, 3, 3]",6719,98.4,27956,93.5,38749,95.5
