,epoch,theta,learning_rate,train_loss,train_accuracy(%),validation_loss,validation_accuracy(%),test_accuracy(%),ranks,# effective parameters,cr_test (%),# effective parameters train,cr_train (%),# effective parameters train with grads,cr_train_grads (%)
0,0,0.13,0.05,1.206,62.3318,0.468,85.0771,85.7694,"[10, 17, 39]",25616,94.0,262280,39.1,335420,61.0
1,1,0.13,0.05,0.633,80.7637,0.393,87.411,87.678,"[10, 17, 38]",25115,94.2,256464,40.4,327996,61.9
2,2,0.13,0.05,0.312,90.7409,0.263,92.0886,92.9193,"[10, 17, 38]",25115,94.2,256464,40.4,327996,61.9
3,3,0.13,0.05,0.177,94.6319,0.138,95.7278,96.3904,"[10, 17, 37]",24614,94.3,250664,41.8,320596,62.8
4,4,0.13,0.05,0.144,95.4816,0.196,93.6709,94.0269,"[10, 17, 37]",24614,94.3,250664,41.8,320596,62.8
5,5,0.13,0.05,0.372,89.7342,0.238,93.0775,93.127,"[10, 17, 37]",24614,94.3,250664,41.8,320596,62.8
6,6,0.13,0.05,0.141,95.6629,0.137,95.7674,95.985,"[10, 17, 37]",24614,94.3,250664,41.8,320596,62.8
7,7,0.13,0.05,0.146,95.5307,0.149,95.4015,95.5498,"[10, 17, 37]",24614,94.3,250664,41.8,320596,62.8
8,8,0.13,0.05,0.121,96.2153,0.125,96.0443,96.3212,"[10, 17, 37]",24614,94.3,250664,41.8,320596,62.8
9,9,0.13,0.05,0.092,97.1308,0.103,96.8651,97.0629,"[10, 17, 36]",24113,94.4,244880,43.1,313220,63.6
10,10,0.13,0.05,0.084,97.4085,0.083,97.4189,97.6661,"[10, 17, 36]",24113,94.4,244880,43.1,313220,63.6
11,11,0.13,0.05,0.098,97.0516,0.282,91.4755,91.7227,"[10, 17, 36]",24113,94.4,244880,43.1,313220,63.6
12,12,0.13,0.05,0.12,96.2129,0.104,96.8453,97.0827,"[10, 17, 36]",24113,94.4,244880,43.1,313220,63.6
13,13,0.13,0.05,0.094,97.1751,0.099,96.8849,97.1618,"[10, 17, 36]",24113,94.4,244880,43.1,313220,63.6
14,14,0.13,0.05,0.082,97.4621,0.103,96.7662,97.0827,"[10, 17, 36]",24113,94.4,244880,43.1,313220,63.6
15,15,0.13,0.05,0.066,97.9879,0.079,97.5969,97.9529,"[10, 17, 36]",24113,94.4,244880,43.1,313220,63.6
16,16,0.13,0.05,0.06,98.1158,0.075,97.6266,98.0419,"[10, 17, 36]",24113,94.4,244880,43.1,313220,63.6
17,17,0.13,0.05,0.058,98.2433,0.078,97.5079,97.5574,"[10, 17, 36]",24113,94.4,244880,43.1,313220,63.6
18,18,0.13,0.05,0.056,98.2633,0.073,97.8145,97.7848,"[10, 17, 36]",24113,94.4,244880,43.1,313220,63.6
19,19,0.13,0.05,0.049,98.4882,0.061,98.0222,98.2199,"[10, 17, 36]",24113,94.4,244880,43.1,313220,63.6
