,epoch,theta,learning_rate,train_loss,train_accuracy(%),validation_loss,validation_accuracy(%),test_accuracy(%),ranks,# effective parameters,cr_test (%),# effective parameters train,cr_train (%),# effective parameters train with grads,cr_train_grads (%)
0,0,0.45,0.05,1.435,48.3772,0.682,77.5613,77.6602,"[3, 3, 3]",6719,98.4,27956,93.5,38749,95.5
1,1,0.45,0.05,0.541,81.1545,0.469,84.1574,84.2959,"[3, 3, 3]",6719,98.4,27956,93.5,38749,95.5
2,2,0.45,0.05,0.435,85.127,0.456,84.6025,83.5839,"[3, 3, 3]",6719,98.4,27956,93.5,38749,95.5
3,3,0.45,0.05,0.351,88.6613,0.386,86.7583,86.9561,"[3, 3, 3]",6719,98.4,27956,93.5,38749,95.5
4,4,0.45,0.05,0.297,90.6377,0.296,90.7931,89.9723,"[3, 3, 3]",6719,98.4,27956,93.5,38749,95.5
5,5,0.45,0.05,0.495,87.1843,0.508,84.108,83.7816,"[2, 2, 3]",6647,98.5,25496,94.1,35654,95.9
6,6,0.45,0.05,0.359,89.0305,0.297,91.1195,90.7634,"[2, 2, 3]",6647,98.5,25496,94.1,35654,95.9
7,7,0.45,0.05,0.3,90.8248,0.269,91.871,91.4062,"[2, 2, 3]",6647,98.5,25496,94.1,35654,95.9
8,8,0.45,0.05,0.271,91.7886,0.256,92.2666,91.96,"[2, 2, 3]",6647,98.5,25496,94.1,35654,95.9
9,9,0.45,0.05,0.254,92.3553,0.239,93.216,92.4941,"[2, 2, 3]",6647,98.5,25496,94.1,35654,95.9
10,10,0.45,0.05,0.241,92.703,0.241,92.6919,92.6523,"[2, 2, 3]",6647,98.5,25496,94.1,35654,95.9
11,11,0.45,0.05,0.233,93.0643,0.245,92.6622,92.2963,"[2, 2, 3]",6647,98.5,25496,94.1,35654,95.9
12,12,0.45,0.05,0.225,93.2209,0.211,93.7896,93.483,"[2, 2, 3]",6647,98.5,25496,94.1,35654,95.9
13,13,0.45,0.05,0.22,93.4047,0.201,94.0467,93.4632,"[2, 2, 3]",6647,98.5,25496,94.1,35654,95.9
14,14,0.45,0.05,0.213,93.6341,0.241,92.3358,92.3556,"[2, 2, 3]",6647,98.5,25496,94.1,35654,95.9
15,15,0.45,0.05,0.208,93.8172,0.199,94.1159,93.6709,"[2, 2, 3]",6647,98.5,25496,94.1,35654,95.9
16,16,0.45,0.05,0.205,93.9725,0.192,94.0269,93.8687,"[2, 2, 3]",6647,98.5,25496,94.1,35654,95.9
17,17,0.45,0.05,0.202,93.959,0.556,83.4059,83.04,"[2, 2, 3]",6647,98.5,25496,94.1,35654,95.9
18,18,0.45,0.05,0.197,94.1289,0.198,94.1159,93.8786,"[2, 2, 3]",6647,98.5,25496,94.1,35654,95.9
19,19,0.45,0.05,0.192,94.2116,0.176,94.7785,94.551,"[2, 2, 3]",6647,98.5,25496,94.1,35654,95.9
