,epoch,theta,learning_rate,train_loss,train_accuracy(%),validation_loss,validation_accuracy(%),test_accuracy(%),ranks,# effective parameters,cr_test (%),# effective parameters train,cr_train (%),# effective parameters train with grads,cr_train_grads (%)
0,0,0.15,0.05,0.902,73.4862,0.438,86.1056,85.2156,"[10, 13, 29]",20402,95.3,195080,54.7,249820,71.0
1,1,0.15,0.05,0.355,89.2715,0.295,90.8821,90.6744,"[10, 13, 29]",20402,95.3,195080,54.7,249820,71.0
2,2,0.15,0.05,0.287,91.1098,0.221,93.2259,92.7017,"[10, 13, 29]",20402,95.3,195080,54.7,249820,71.0
3,3,0.15,0.05,0.321,90.1091,0.305,90.8327,90.5657,"[10, 13, 29]",20402,95.3,195080,54.7,249820,71.0
4,4,0.15,0.05,0.241,93.2098,0.23,93.0874,92.3952,"[10, 13, 29]",20402,95.3,195080,54.7,249820,71.0
5,5,0.15,0.05,0.236,92.8892,0.216,93.0578,93.127,"[10, 13, 29]",20402,95.3,195080,54.7,249820,71.0
6,6,0.15,0.05,0.159,95.1003,0.137,95.5795,95.2433,"[10, 13, 29]",20402,95.3,195080,54.7,249820,71.0
7,7,0.15,0.05,0.183,94.5908,0.169,94.6796,94.3631,"[9, 13, 29]",20381,95.3,194748,54.8,249367,71.0
8,8,0.15,0.05,0.117,96.437,0.094,97.1025,96.8651,"[9, 13, 29]",20381,95.3,194748,54.8,249367,71.0
9,9,0.15,0.05,0.084,97.498,0.098,96.8058,96.8157,"[9, 13, 29]",20381,95.3,194748,54.8,249367,71.0
10,10,0.15,0.05,0.082,97.5327,0.106,96.5882,96.4399,"[9, 13, 29]",20381,95.3,194748,54.8,249367,71.0
11,11,0.15,0.05,0.092,97.2626,0.105,96.875,96.5981,"[9, 13, 29]",20381,95.3,194748,54.8,249367,71.0
12,12,0.15,0.05,0.09,97.247,0.079,97.5771,97.3299,"[9, 13, 29]",20381,95.3,194748,54.8,249367,71.0
13,13,0.15,0.05,0.068,97.9227,0.066,97.9134,97.8145,"[9, 13, 29]",20381,95.3,194748,54.8,249367,71.0
14,14,0.15,0.05,0.063,98.0835,0.074,97.6859,97.5969,"[9, 13, 29]",20381,95.3,194748,54.8,249367,71.0
15,15,0.15,0.05,0.063,98.0486,0.064,98.0518,97.8837,"[9, 13, 29]",20381,95.3,194748,54.8,249367,71.0
16,16,0.15,0.05,0.058,98.1805,0.065,98.0617,98.0123,"[9, 13, 29]",20381,95.3,194748,54.8,249367,71.0
17,17,0.15,0.05,0.069,97.8448,0.081,97.3497,97.5672,"[9, 13, 29]",20381,95.3,194748,54.8,249367,71.0
18,18,0.15,0.05,0.163,95.7681,0.1,96.7959,96.5091,"[9, 13, 29]",20381,95.3,194748,54.8,249367,71.0
19,19,0.15,0.05,0.085,97.4189,0.081,97.3892,97.32,"[9, 13, 29]",20381,95.3,194748,54.8,249367,71.0
