,epoch,theta,learning_rate,train_loss,train_accuracy(%),validation_loss,validation_accuracy(%),test_accuracy(%),ranks,# effective parameters,cr_test (%),# effective parameters train,cr_train (%),# effective parameters train with grads,cr_train_grads (%)
0,0,0.15,0.05,0.895,72.2559,0.317,90.7239,90.3085,"[10, 16, 29]",20555,95.2,202376,53.0,259114,69.9
1,1,0.15,0.05,0.28,91.395,0.2,94.3434,94.1851,"[10, 16, 29]",20555,95.2,202376,53.0,259114,69.9
2,2,0.15,0.05,0.337,90.8375,0.307,91.693,91.3568,"[10, 16, 29]",20555,95.2,202376,53.0,259114,69.9
3,3,0.15,0.05,0.251,92.6554,0.174,94.6994,94.5708,"[10, 16, 29]",20555,95.2,202376,53.0,259114,69.9
4,4,0.15,0.05,0.148,95.4956,0.235,93.0479,93.127,"[10, 16, 28]",20054,95.3,196720,54.3,251930,70.7
5,5,0.15,0.05,0.182,94.6032,0.133,95.8861,96.1333,"[10, 16, 28]",20054,95.3,196720,54.3,251930,70.7
6,6,0.15,0.05,0.115,96.5121,0.1,96.8849,96.8157,"[10, 16, 28]",20054,95.3,196720,54.3,251930,70.7
7,7,0.15,0.05,0.082,97.4425,0.074,97.8244,97.6563,"[10, 16, 28]",20054,95.3,196720,54.3,251930,70.7
8,8,0.15,0.05,0.079,97.5867,0.074,97.6958,97.4684,"[10, 16, 28]",20054,95.3,196720,54.3,251930,70.7
9,9,0.15,0.05,0.062,98.0755,0.061,98.0914,98.0914,"[10, 16, 28]",20054,95.3,196720,54.3,251930,70.7
10,10,0.15,0.05,0.054,98.3443,0.056,98.1606,98.2694,"[10, 16, 28]",20054,95.3,196720,54.3,251930,70.7
11,11,0.15,0.05,0.059,98.2424,0.075,97.6958,97.5376,"[10, 16, 28]",20054,95.3,196720,54.3,251930,70.7
12,12,0.15,0.05,0.059,98.1985,0.068,97.8738,97.9727,"[10, 16, 28]",20054,95.3,196720,54.3,251930,70.7
13,13,0.15,0.05,0.049,98.5374,0.06,98.1606,98.2397,"[10, 16, 28]",20054,95.3,196720,54.3,251930,70.7
14,14,0.15,0.05,0.051,98.3783,0.055,98.3386,98.2496,"[10, 16, 28]",20054,95.3,196720,54.3,251930,70.7
15,15,0.15,0.05,0.061,98.1058,0.065,97.9925,98.0518,"[10, 16, 28]",20054,95.3,196720,54.3,251930,70.7
16,16,0.15,0.05,0.053,98.3212,0.058,98.0914,98.1705,"[10, 16, 28]",20054,95.3,196720,54.3,251930,70.7
17,17,0.15,0.05,0.044,98.6113,0.047,98.6155,98.5759,"[9, 16, 28]",20033,95.3,196388,54.4,251477,70.8
18,18,0.15,0.05,0.047,98.5741,0.063,97.9233,98.1507,"[9, 16, 28]",20033,95.3,196388,54.4,251477,70.8
19,19,0.15,0.05,0.047,98.4862,0.05,98.4968,98.4869,"[9, 16, 27]",19532,95.5,190748,55.7,244317,71.6
