,epoch,theta,learning_rate,train_loss,train_accuracy(%),validation_loss,validation_accuracy(%),test_accuracy(%),ranks,# effective parameters,cr_test (%),# effective parameters train,cr_train (%),# effective parameters train with grads,cr_train_grads (%)
0,0,0.2,0.05,0.928,71.9762,0.278,91.5249,91.6139,"[8, 10, 16]",13694,96.8,115000,73.3,148340,82.8
1,1,0.2,0.05,0.262,92.5531,0.169,94.7191,95.2136,"[8, 9, 16]",13643,96.8,112648,73.8,145362,83.1
2,2,0.2,0.05,0.33,90.3297,0.666,79.915,79.371,"[8, 9, 16]",13643,96.8,112648,73.8,145362,83.1
3,3,0.2,0.05,0.172,94.8253,0.137,95.9157,96.1036,"[8, 9, 16]",13643,96.8,112648,73.8,145362,83.1
4,4,0.2,0.05,0.115,96.4271,0.11,96.5981,96.4893,"[8, 9, 16]",13643,96.8,112648,73.8,145362,83.1
5,5,0.2,0.05,0.1,96.9426,0.106,96.7464,96.8948,"[8, 9, 15]",13142,96.9,107200,75.1,138490,83.9
6,6,0.2,0.05,0.106,96.6679,0.113,96.1729,96.3014,"[8, 9, 15]",13142,96.9,107200,75.1,138490,83.9
7,7,0.2,0.05,0.081,97.4864,0.073,97.676,97.8936,"[8, 9, 15]",13142,96.9,107200,75.1,138490,83.9
8,8,0.2,0.05,0.09,97.2131,0.082,97.409,97.3596,"[8, 9, 15]",13142,96.9,107200,75.1,138490,83.9
9,9,0.2,0.05,0.083,97.297,0.081,97.4684,97.5574,"[8, 9, 15]",13142,96.9,107200,75.1,138490,83.9
10,10,0.2,0.05,0.082,97.3433,0.108,96.5585,96.7168,"[8, 8, 15]",13091,97.0,104864,75.6,135536,84.3
11,11,0.2,0.05,0.104,96.6596,0.119,96.2223,96.43,"[8, 8, 15]",13091,97.0,104864,75.6,135536,84.3
12,12,0.2,0.05,0.076,97.5987,0.07,97.765,97.9134,"[8, 8, 15]",13091,97.0,104864,75.6,135536,84.3
13,13,0.2,0.05,0.063,98.0366,0.064,98.0518,98.1507,"[8, 8, 15]",13091,97.0,104864,75.6,135536,84.3
14,14,0.2,0.05,0.057,98.2304,0.065,98.1013,98.0716,"[8, 8, 15]",13091,97.0,104864,75.6,135536,84.3
15,15,0.2,0.05,0.062,98.0226,0.083,97.32,97.3002,"[8, 8, 15]",13091,97.0,104864,75.6,135536,84.3
16,16,0.2,0.05,0.05,98.3383,0.058,98.1606,98.1606,"[8, 8, 15]",13091,97.0,104864,75.6,135536,84.3
17,17,0.2,0.05,0.045,98.6253,0.052,98.5265,98.4078,"[8, 8, 15]",13091,97.0,104864,75.6,135536,84.3
18,18,0.2,0.05,0.048,98.5222,0.071,97.6365,97.6563,"[8, 8, 15]",13091,97.0,104864,75.6,135536,84.3
19,19,0.2,0.05,0.048,98.4882,0.067,98.1507,98.2002,"[8, 8, 15]",13091,97.0,104864,75.6,135536,84.3
