,epoch,theta,learning_rate,train_loss,train_accuracy(%),validation_loss,validation_accuracy(%),test_accuracy(%),ranks,# effective parameters,cr_test (%),# effective parameters train,cr_train (%),# effective parameters train with grads,cr_train_grads (%)
0,0,0.2,0.05,0.88,73.0542,0.42,87.589,88.1032,"[7, 10, 17]",14174,96.7,120164,72.1,154831,82.0
1,1,0.2,0.05,0.399,88.585,0.198,94.0071,94.5807,"[7, 10, 17]",14174,96.7,120164,72.1,154831,82.0
2,2,0.2,0.05,0.182,94.3994,0.28,90.5657,91.1986,"[6, 9, 17]",14102,96.7,117528,72.7,151472,82.4
3,3,0.2,0.05,0.139,95.6978,0.125,96.2619,96.3311,"[5, 9, 16]",13580,96.8,111796,74.0,144219,83.2
4,4,0.2,0.05,0.102,96.8287,0.097,96.9146,97.3398,"[5, 9, 16]",13580,96.8,111796,74.0,144219,83.2
5,5,0.2,0.05,0.084,97.3473,0.098,96.9442,97.5079,"[5, 9, 16]",13580,96.8,111796,74.0,144219,83.2
6,6,0.2,0.05,0.075,97.7002,0.079,97.4189,97.943,"[5, 9, 16]",13580,96.8,111796,74.0,144219,83.2
7,7,0.2,0.05,0.066,97.8648,0.076,97.5672,97.8936,"[5, 9, 16]",13580,96.8,111796,74.0,144219,83.2
8,8,0.2,0.05,0.06,98.0946,0.074,97.7057,98.0518,"[5, 9, 16]",13580,96.8,111796,74.0,144219,83.2
9,9,0.2,0.05,0.056,98.2693,0.084,97.3497,97.6068,"[5, 9, 16]",13580,96.8,111796,74.0,144219,83.2
10,10,0.2,0.05,0.121,96.5945,0.103,96.7267,97.0431,"[5, 9, 16]",13580,96.8,111796,74.0,144219,83.2
11,11,0.2,0.05,0.331,91.9381,0.178,94.6994,95.5004,"[5, 9, 16]",13580,96.8,111796,74.0,144219,83.2
12,12,0.2,0.05,0.146,95.5087,0.149,95.4015,96.1432,"[5, 9, 15]",13079,97.0,106348,75.3,137347,84.0
13,13,0.2,0.05,0.11,96.5969,0.097,97.0629,97.2805,"[5, 9, 15]",13079,97.0,106348,75.3,137347,84.0
14,14,0.2,0.05,0.134,95.9115,0.1,96.8552,97.0431,"[5, 8, 15]",13028,97.0,104012,75.8,134393,84.4
15,15,0.2,0.05,0.094,97.1607,0.101,96.9047,97.2903,"[5, 8, 15]",13028,97.0,104012,75.8,134393,84.4
16,16,0.2,0.05,0.098,97.0036,0.091,97.1321,97.3299,"[5, 8, 15]",13028,97.0,104012,75.8,134393,84.4
17,17,0.2,0.05,0.091,97.2034,0.095,96.8651,97.1717,"[5, 8, 15]",13028,97.0,104012,75.8,134393,84.4
18,18,0.2,0.05,0.077,97.5803,0.093,96.964,97.7354,"[5, 8, 15]",13028,97.0,104012,75.8,134393,84.4
19,19,0.2,0.05,0.064,98.0423,0.07,97.7947,98.2199,"[5, 8, 15]",13028,97.0,104012,75.8,134393,84.4
