,epoch,theta,learning_rate,train_loss,train_accuracy(%),validation_loss,validation_accuracy(%),test_accuracy(%),ranks,# effective parameters,cr_test (%),# effective parameters train,cr_train (%),# effective parameters train with grads,cr_train_grads (%)
0,0,0.11,0.05,0.991,69.5836,0.618,80.2413,81.2006,"[10, 25, 50]",31535,92.7,347600,19.3,444700,48.4
1,1,0.11,0.05,0.308,90.37,0.339,89.1515,89.7449,"[10, 24, 49]",30983,92.8,339016,21.3,433674,49.6
2,2,0.11,0.05,0.261,92.1223,0.205,93.8588,94.3335,"[10, 24, 49]",30983,92.8,339016,21.3,433674,49.6
3,3,0.11,0.05,0.185,94.2352,0.149,95.5301,95.5696,"[10, 23, 48]",30431,92.9,330464,23.2,422696,50.9
4,4,0.11,0.05,0.18,94.4357,0.183,94.1851,95.0653,"[10, 23, 48]",30431,92.9,330464,23.2,422696,50.9
5,5,0.11,0.05,0.181,94.6524,0.148,95.4509,95.7081,"[10, 22, 48]",30380,92.9,327904,23.8,419406,51.3
6,6,0.11,0.05,0.13,95.9615,0.131,95.6191,96.2915,"[10, 22, 48]",30380,92.9,327904,23.8,419406,51.3
7,7,0.11,0.05,0.137,95.8148,0.119,96.3212,96.5585,"[10, 22, 48]",30380,92.9,327904,23.8,419406,51.3
8,8,0.11,0.05,0.127,96.0126,0.116,96.3608,96.7168,"[10, 21, 48]",30329,93.0,325360,24.4,416140,51.7
9,9,0.11,0.05,0.148,95.396,0.175,94.7785,95.2927,"[10, 20, 48]",30278,93.0,322832,25.0,412898,52.0
10,10,0.11,0.05,0.12,96.2349,0.127,95.807,96.1828,"[10, 20, 48]",30278,93.0,322832,25.0,412898,52.0
11,11,0.11,0.05,0.105,96.7479,0.116,96.4102,96.8354,"[10, 20, 48]",30278,93.0,322832,25.0,412898,52.0
12,12,0.11,0.05,0.108,96.5849,0.114,96.3805,97.231,"[10, 20, 48]",30278,93.0,322832,25.0,412898,52.0
13,13,0.11,0.05,0.091,97.1295,0.097,97.053,97.3398,"[10, 20, 48]",30278,93.0,322832,25.0,412898,52.0
14,14,0.11,0.05,0.079,97.4877,0.111,96.4102,96.9047,"[10, 20, 47]",29777,93.1,316872,26.4,405258,52.9
15,15,0.11,0.05,0.078,97.54,0.081,97.498,97.9035,"[10, 20, 47]",29777,93.1,316872,26.4,405258,52.9
16,16,0.11,0.05,0.064,98.0055,0.065,98.1507,98.2199,"[10, 20, 47]",29777,93.1,316872,26.4,405258,52.9
17,17,0.11,0.05,0.064,97.9883,0.095,97.0134,97.2508,"[10, 20, 47]",29777,93.1,316872,26.4,405258,52.9
18,18,0.11,0.05,0.068,97.874,0.074,97.7354,97.8441,"[10, 20, 47]",29777,93.1,316872,26.4,405258,52.9
19,19,0.11,0.05,0.063,98.0646,0.08,97.409,97.6266,"[10, 20, 47]",29777,93.1,316872,26.4,405258,52.9
