,epoch,theta,learning_rate,train_loss,train_accuracy(%),validation_loss,validation_accuracy(%),test_accuracy(%),ranks,# effective parameters,cr_test (%),# effective parameters train,cr_train (%),# effective parameters train with grads,cr_train_grads (%)
0,0,0.45,0.05,1.475,47.261,2.95,23.7342,25.089,"[2, 3, 4]",7199,98.3,32992,92.3,45048,94.8
1,1,0.45,0.05,0.588,80.3805,0.462,84.464,84.6816,"[2, 3, 4]",7199,98.3,32992,92.3,45048,94.8
2,2,0.45,0.05,0.322,89.8913,0.39,86.8869,86.9759,"[2, 3, 4]",7199,98.3,32992,92.3,45048,94.8
3,3,0.45,0.05,0.543,85.6546,1.642,45.9355,46.341,"[2, 3, 3]",6698,98.4,27736,93.6,38464,95.5
4,4,0.45,0.05,0.63,78.8227,0.411,87.0847,86.7682,"[2, 3, 3]",6698,98.4,27736,93.6,38464,95.5
5,5,0.45,0.05,0.367,88.828,0.302,91.1986,91.0601,"[2, 3, 3]",6698,98.4,27736,93.6,38464,95.5
6,6,0.45,0.05,0.299,90.9574,0.295,90.8821,90.5657,"[2, 3, 3]",6698,98.4,27736,93.6,38464,95.5
7,7,0.45,0.05,0.261,92.086,0.225,93.3544,93.0578,"[2, 3, 3]",6698,98.4,27736,93.6,38464,95.5
8,8,0.45,0.05,0.231,93.0191,0.209,93.7698,93.8687,"[2, 3, 3]",6698,98.4,27736,93.6,38464,95.5
9,9,0.45,0.05,0.215,93.3811,0.241,92.7017,92.3358,"[2, 3, 3]",6698,98.4,27736,93.6,38464,95.5
10,10,0.45,0.05,0.202,93.8746,0.186,94.2741,94.3631,"[2, 3, 3]",6698,98.4,27736,93.6,38464,95.5
11,11,0.45,0.05,0.195,94.1356,0.187,94.1555,94.4818,"[2, 3, 3]",6698,98.4,27736,93.6,38464,95.5
12,12,0.45,0.05,0.188,94.3058,0.195,94.0763,94.1851,"[2, 3, 3]",6698,98.4,27736,93.6,38464,95.5
13,13,0.45,0.05,1.059,70.8416,0.521,82.6048,82.9905,"[2, 3, 3]",6698,98.4,27736,93.6,38464,95.5
14,14,0.45,0.05,0.733,76.2784,0.672,78.8568,78.2338,"[2, 3, 3]",6698,98.4,27736,93.6,38464,95.5
15,15,0.45,0.05,0.658,80.9183,0.436,87.2429,86.8968,"[2, 3, 3]",6698,98.4,27736,93.6,38464,95.5
16,16,0.45,0.05,0.395,88.189,0.341,89.7251,90.0218,"[2, 3, 3]",6698,98.4,27736,93.6,38464,95.5
17,17,0.45,0.05,0.332,90.0096,0.293,91.1392,91.2381,"[2, 3, 3]",6698,98.4,27736,93.6,38464,95.5
18,18,0.45,0.05,0.284,91.4689,0.266,91.9304,92.0886,"[2, 3, 3]",6698,98.4,27736,93.6,38464,95.5
19,19,0.45,0.05,0.266,92.0249,0.259,92.2567,91.6733,"[2, 3, 3]",6698,98.4,27736,93.6,38464,95.5
