,epoch,theta,learning_rate,train_loss,train_accuracy(%),validation_loss,validation_accuracy(%),test_accuracy(%),ranks,# effective parameters,cr_test (%),# effective parameters train,cr_train (%),# effective parameters train with grads,cr_train_grads (%)
0,0,0.07,0.05,0.78,75.9823,0.288,91.7722,91.3865,"[10, 25, 108]",60593,85.9,722512,-67.8,931668,-8.2
1,1,0.07,0.05,0.23,92.8381,0.189,94.017,94.2544,"[10, 25, 107]",60092,86.0,715592,-66.2,922588,-7.2
2,2,0.07,0.05,0.165,94.9836,0.126,96.1729,96.3113,"[10, 25, 107]",60092,86.0,715592,-66.2,922588,-7.2
3,3,0.07,0.05,0.205,94.0493,0.151,95.6685,95.6487,"[10, 25, 105]",59090,86.3,701800,-63.0,904500,-5.1
4,4,0.07,0.05,0.164,94.7538,0.221,93.1566,93.1863,"[10, 25, 105]",59090,86.3,701800,-63.0,904500,-5.1
5,5,0.07,0.05,0.177,94.7598,0.129,96.0344,96.1036,"[10, 25, 105]",59090,86.3,701800,-63.0,904500,-5.1
6,6,0.07,0.05,0.249,93.0259,0.259,92.5138,92.682,"[10, 25, 104]",58589,86.4,694928,-61.4,895492,-4.0
7,7,0.07,0.05,0.135,95.8416,0.103,96.7069,96.8948,"[10, 25, 104]",58589,86.4,694928,-61.4,895492,-4.0
8,8,0.07,0.05,0.101,96.8694,0.097,96.9146,97.142,"[10, 25, 104]",58589,86.4,694928,-61.4,895492,-4.0
9,9,0.07,0.05,0.093,97.0872,0.102,96.7563,96.8552,"[10, 25, 104]",58589,86.4,694928,-61.4,895492,-4.0
10,10,0.07,0.05,0.121,96.3779,0.169,95.0949,95.1741,"[10, 25, 104]",58589,86.4,694928,-61.4,895492,-4.0
11,11,0.07,0.05,0.111,96.4854,0.08,97.765,97.6464,"[10, 25, 104]",58589,86.4,694928,-61.4,895492,-4.0
12,12,0.07,0.05,0.129,96.0674,0.193,93.8687,94.284,"[10, 25, 103]",58088,86.5,688072,-59.8,886508,-3.0
13,13,0.07,0.05,0.105,96.8414,0.099,96.9343,97.231,"[10, 25, 103]",58088,86.5,688072,-59.8,886508,-3.0
14,14,0.07,0.05,0.145,96.2216,0.089,97.3991,97.5178,"[10, 25, 103]",58088,86.5,688072,-59.8,886508,-3.0
15,15,0.07,0.05,0.081,97.5004,0.106,96.7069,97.2112,"[10, 25, 102]",57587,86.6,681232,-58.2,877548,-1.9
16,16,0.07,0.05,0.076,97.6555,0.085,97.3398,97.7354,"[10, 25, 102]",57587,86.6,681232,-58.2,877548,-1.9
17,17,0.07,0.05,0.069,97.8697,0.096,97.1915,97.409,"[10, 25, 102]",57587,86.6,681232,-58.2,877548,-1.9
18,18,0.07,0.05,0.064,98.0119,0.068,97.9529,98.032,"[10, 25, 102]",57587,86.6,681232,-58.2,877548,-1.9
19,19,0.07,0.05,0.089,97.2899,0.19,93.8291,94.0665,"[10, 25, 102]",57587,86.6,681232,-58.2,877548,-1.9
