,epoch,theta,learning_rate,train_loss,train_accuracy(%),validation_loss,validation_accuracy(%),test_accuracy(%),ranks,# effective parameters,cr_test (%),# effective parameters train,cr_train (%),# effective parameters train with grads,cr_train_grads (%)
0,0,0.2,0.05,1.207,61.1685,0.554,80.2907,80.716,"[10, 13, 18]",14891,96.5,133744,68.9,172116,80.0
1,1,0.2,0.05,0.796,76.314,0.436,87.5593,87.6187,"[10, 12, 18]",14840,96.6,131344,69.5,169066,80.4
2,2,0.2,0.05,0.266,91.8222,0.19,94.0467,94.3137,"[10, 12, 18]",14840,96.6,131344,69.5,169066,80.4
3,3,0.2,0.05,0.156,95.1774,0.172,94.6104,94.3631,"[9, 12, 17]",14318,96.7,125532,70.8,161693,81.2
4,4,0.2,0.05,0.131,95.8687,0.138,95.5597,95.7081,"[9, 12, 17]",14318,96.7,125532,70.8,161693,81.2
5,5,0.2,0.05,0.121,96.2384,0.106,96.6278,96.7366,"[9, 12, 17]",14318,96.7,125532,70.8,161693,81.2
6,6,0.2,0.05,0.106,96.6908,0.111,96.608,96.7563,"[9, 12, 17]",14318,96.7,125532,70.8,161693,81.2
7,7,0.2,0.05,0.095,97.0875,0.09,97.2903,97.2508,"[9, 12, 17]",14318,96.7,125532,70.8,161693,81.2
8,8,0.2,0.05,0.08,97.4804,0.074,97.6464,97.6365,"[9, 12, 17]",14318,96.7,125532,70.8,161693,81.2
9,9,0.2,0.05,0.07,97.8388,0.072,97.6563,97.6464,"[9, 12, 17]",14318,96.7,125532,70.8,161693,81.2
10,10,0.2,0.05,0.079,97.5683,0.079,97.3892,97.6661,"[9, 11, 17]",14267,96.7,123148,71.4,158667,81.6
11,11,0.2,0.05,0.074,97.641,0.078,97.4486,97.5376,"[9, 11, 17]",14267,96.7,123148,71.4,158667,81.6
12,12,0.2,0.05,0.068,97.8385,0.075,97.6365,97.7255,"[9, 11, 17]",14267,96.7,123148,71.4,158667,81.6
13,13,0.2,0.05,0.063,98.0235,0.067,97.7947,97.9727,"[9, 11, 17]",14267,96.7,123148,71.4,158667,81.6
14,14,0.2,0.05,0.062,98.0526,0.072,97.8738,98.0123,"[9, 10, 17]",14216,96.7,120780,71.9,155665,81.9
15,15,0.2,0.05,0.062,98.0172,0.069,97.765,97.8738,"[8, 10, 17]",14195,96.7,120464,72.0,155236,82.0
16,16,0.2,0.05,0.061,98.1006,0.071,97.6958,98.1013,"[8, 10, 17]",14195,96.7,120464,72.0,155236,82.0
17,17,0.2,0.05,0.055,98.2876,0.061,98.0914,98.3881,"[8, 10, 17]",14195,96.7,120464,72.0,155236,82.0
18,18,0.2,0.05,0.05,98.4482,0.068,97.9529,98.1606,"[8, 10, 17]",14195,96.7,120464,72.0,155236,82.0
19,19,0.2,0.05,0.051,98.3244,0.08,97.409,97.4387,"[8, 10, 17]",14195,96.7,120464,72.0,155236,82.0
