,epoch,theta,learning_rate,train_loss,train_accuracy(%),validation_loss,validation_accuracy(%),test_accuracy(%),ranks,# effective parameters,cr_test (%),# effective parameters train,cr_train (%),# effective parameters train with grads,cr_train_grads (%)
0,0,0.2,0.05,0.954,70.9466,0.598,83.7421,83.7124,"[7, 11, 19]",15227,96.5,133508,69.0,171697,80.1
1,1,0.2,0.05,0.485,85.1363,0.296,90.5063,90.8129,"[7, 11, 18]",14726,96.6,128012,70.3,164753,80.9
2,2,0.2,0.05,0.224,93.1039,0.137,95.8465,96.1135,"[7, 11, 18]",14726,96.6,128012,70.3,164753,80.9
3,3,0.2,0.05,0.133,95.8912,0.134,95.7377,95.8564,"[7, 11, 18]",14726,96.6,128012,70.3,164753,80.9
4,4,0.2,0.05,0.158,95.2022,0.131,96.0542,96.1531,"[7, 11, 18]",14726,96.6,128012,70.3,164753,80.9
5,5,0.2,0.05,0.281,92.4189,0.384,87.2429,87.5099,"[6, 11, 18]",14705,96.6,127728,70.3,164372,80.9
6,6,0.2,0.05,0.265,91.9245,0.313,89.6756,89.8042,"[6, 11, 18]",14705,96.6,127728,70.3,164372,80.9
7,7,0.2,0.05,0.173,94.6415,0.184,94.2642,94.5807,"[6, 11, 18]",14705,96.6,127728,70.3,164372,80.9
8,8,0.2,0.05,0.124,96.1749,0.135,95.7278,96.1036,"[6, 11, 18]",14705,96.6,127728,70.3,164372,80.9
9,9,0.2,0.05,0.128,95.9859,0.127,95.9751,96.1333,"[6, 11, 18]",14705,96.6,127728,70.3,164372,80.9
10,10,0.2,0.05,0.115,96.445,0.162,94.9466,94.9466,"[6, 10, 18]",14654,96.6,125360,70.9,161370,81.3
11,11,0.2,0.05,0.106,96.6948,0.117,96.2025,96.3706,"[6, 10, 18]",14654,96.6,125360,70.9,161370,81.3
12,12,0.2,0.05,0.101,96.9437,0.092,97.2409,97.2112,"[6, 10, 18]",14654,96.6,125360,70.9,161370,81.3
13,13,0.2,0.05,0.089,97.2619,0.099,97.0926,97.1915,"[6, 10, 18]",14654,96.6,125360,70.9,161370,81.3
14,14,0.2,0.05,0.376,88.9359,0.226,93.2259,93.4237,"[6, 10, 18]",14654,96.6,125360,70.9,161370,81.3
15,15,0.2,0.05,0.135,95.9092,0.148,95.0158,95.4707,"[6, 10, 17]",14153,96.7,119880,72.2,154450,82.1
16,16,0.2,0.05,0.107,96.6919,0.108,96.4794,96.8256,"[6, 10, 17]",14153,96.7,119880,72.2,154450,82.1
17,17,0.2,0.05,0.108,96.6585,0.122,96.0938,96.2619,"[6, 10, 17]",14153,96.7,119880,72.2,154450,82.1
18,18,0.2,0.05,0.122,96.218,0.103,96.8354,96.6179,"[6, 10, 17]",14153,96.7,119880,72.2,154450,82.1
19,19,0.2,0.05,0.093,97.1623,0.09,97.3892,97.587,"[6, 10, 17]",14153,96.7,119880,72.2,154450,82.1
