,epoch,theta,learning_rate,train_loss,train_accuracy(%),validation_loss,validation_accuracy(%),test_accuracy(%),ranks,# effective parameters,cr_test (%),# effective parameters train,cr_train (%),# effective parameters train with grads,cr_train_grads (%)
0,0,0.07,0.05,0.842,74.636,0.385,88.1428,88.4098,"[10, 25, 96]",54581,87.3,640528,-48.8,824292,4.3
1,1,0.07,0.05,0.318,90.0635,0.213,93.5522,93.2259,"[10, 25, 96]",54581,87.3,640528,-48.8,824292,4.3
2,2,0.07,0.05,0.236,92.8441,0.431,86.6396,86.6199,"[10, 25, 96]",54581,87.3,640528,-48.8,824292,4.3
3,3,0.07,0.05,0.242,92.8053,4.826,22.9529,22.9035,"[10, 25, 96]",54581,87.3,640528,-48.8,824292,4.3
4,4,0.07,0.05,0.343,90.7945,0.166,94.8378,95.1444,"[10, 25, 96]",54581,87.3,640528,-48.8,824292,4.3
5,5,0.07,0.05,0.165,94.8342,0.202,93.5225,93.7896,"[10, 25, 96]",54581,87.3,640528,-48.8,824292,4.3
6,6,0.07,0.05,0.153,95.2653,0.138,95.6586,95.5004,"[10, 25, 96]",54581,87.3,640528,-48.8,824292,4.3
7,7,0.07,0.05,0.115,96.5213,0.127,96.0245,96.2619,"[10, 25, 96]",54581,87.3,640528,-48.8,824292,4.3
8,8,0.07,0.05,0.157,95.3001,0.129,95.8861,96.1036,"[10, 25, 96]",54581,87.3,640528,-48.8,824292,4.3
9,9,0.07,0.05,0.123,96.2523,0.111,96.341,96.6871,"[10, 25, 96]",54581,87.3,640528,-48.8,824292,4.3
10,10,0.07,0.05,0.131,95.9922,0.124,96.1432,96.1333,"[10, 25, 96]",54581,87.3,640528,-48.8,824292,4.3
11,11,0.07,0.05,0.118,96.3647,0.122,96.2421,96.0542,"[10, 25, 96]",54581,87.3,640528,-48.8,824292,4.3
12,12,0.07,0.05,0.218,93.3391,0.139,95.7377,95.5597,"[10, 25, 96]",54581,87.3,640528,-48.8,824292,4.3
13,13,0.07,0.05,0.114,96.4291,0.115,96.519,96.9047,"[10, 25, 96]",54581,87.3,640528,-48.8,824292,4.3
14,14,0.07,0.05,0.132,95.9546,0.124,95.8267,95.9751,"[10, 25, 96]",54581,87.3,640528,-48.8,824292,4.3
15,15,0.07,0.05,0.101,96.9417,0.086,97.2903,97.4585,"[10, 25, 96]",54581,87.3,640528,-48.8,824292,4.3
16,16,0.07,0.05,0.081,97.5151,0.082,97.4782,97.4684,"[10, 25, 96]",54581,87.3,640528,-48.8,824292,4.3
17,17,0.07,0.05,0.068,97.886,0.073,97.7057,97.854,"[10, 25, 96]",54581,87.3,640528,-48.8,824292,4.3
18,18,0.07,0.05,0.058,98.2173,0.083,97.1717,97.5079,"[10, 25, 96]",54581,87.3,640528,-48.8,824292,4.3
19,19,0.07,0.05,0.072,97.7509,0.075,97.6464,97.5771,"[10, 25, 96]",54581,87.3,640528,-48.8,824292,4.3
