,epoch,theta,learning_rate,train_loss,train_accuracy(%),validation_loss,validation_accuracy(%),test_accuracy(%),ranks,# effective parameters,cr_test (%),# effective parameters train,cr_train (%),# effective parameters train with grads,cr_train_grads (%)
0,0,0.07,0.05,0.871,72.8993,0.523,83.2773,83.6432,"[10, 25, 101]",57086,86.7,674408,-56.7,868612,-0.9
1,1,0.07,0.05,0.397,88.1913,0.336,88.835,88.835,"[10, 25, 100]",56585,86.9,667600,-55.1,859700,0.2
2,2,0.07,0.05,0.203,93.8219,0.265,91.7128,91.4161,"[10, 25, 99]",56084,87.0,660808,-53.5,850812,1.2
3,3,0.07,0.05,0.169,94.8617,0.144,95.5597,95.5696,"[10, 25, 99]",56084,87.0,660808,-53.5,850812,1.2
4,4,0.07,0.05,0.245,93.0879,0.21,93.4434,93.4533,"[10, 25, 99]",56084,87.0,660808,-53.5,850812,1.2
5,5,0.07,0.05,0.257,92.2107,0.28,91.8414,91.6634,"[10, 25, 99]",56084,87.0,660808,-53.5,850812,1.2
6,6,0.07,0.05,0.256,93.1182,0.147,95.5696,95.3521,"[10, 25, 98]",55583,87.1,654032,-51.9,841948,2.2
7,7,0.07,0.05,0.215,93.6837,0.166,94.8972,94.8378,"[10, 25, 98]",55583,87.1,654032,-51.9,841948,2.2
8,8,0.07,0.05,0.151,95.2998,0.12,96.341,96.3608,"[10, 25, 98]",55583,87.1,654032,-51.9,841948,2.2
9,9,0.07,0.05,0.156,95.3073,0.12,96.3311,96.0047,"[10, 25, 98]",55583,87.1,654032,-51.9,841948,2.2
10,10,0.07,0.05,0.106,96.6952,0.144,95.8169,95.7377,"[10, 25, 98]",55583,87.1,654032,-51.9,841948,2.2
11,11,0.07,0.05,0.139,95.7234,0.175,94.284,94.0665,"[10, 25, 98]",55583,87.1,654032,-51.9,841948,2.2
12,12,0.07,0.05,0.161,94.8542,0.145,95.5993,95.3718,"[10, 25, 98]",55583,87.1,654032,-51.9,841948,2.2
13,13,0.07,0.05,0.109,96.5729,0.096,97.1123,97.2805,"[10, 25, 97]",55082,87.2,647272,-50.4,833108,3.2
14,14,0.07,0.05,0.086,97.2599,0.146,95.2631,95.0752,"[10, 25, 97]",55082,87.2,647272,-50.4,833108,3.2
15,15,0.07,0.05,0.1,96.8258,0.121,96.2421,96.341,"[10, 25, 97]",55082,87.2,647272,-50.4,833108,3.2
16,16,0.07,0.05,0.098,96.9046,0.101,96.8058,96.8354,"[10, 25, 97]",55082,87.2,647272,-50.4,833108,3.2
17,17,0.07,0.05,0.079,97.5204,0.078,97.587,97.9035,"[10, 25, 97]",55082,87.2,647272,-50.4,833108,3.2
18,18,0.07,0.05,0.063,97.92,0.07,97.7749,97.9628,"[10, 25, 97]",55082,87.2,647272,-50.4,833108,3.2
19,19,0.07,0.05,0.073,97.6702,0.082,97.4881,97.3101,"[10, 25, 97]",55082,87.2,647272,-50.4,833108,3.2
