,epoch,theta,learning_rate,train_loss,train_accuracy(%),validation_loss,validation_accuracy(%),test_accuracy(%),ranks,# effective parameters,cr_test (%),# effective parameters train,cr_train (%),# effective parameters train with grads,cr_train_grads (%)
0,0,0.3,0.05,0.987,68.3028,0.321,89.6559,89.3196,"[4, 6, 7]",8897,97.9,56128,87.0,74112,91.4
1,1,0.3,0.05,0.244,92.5339,0.186,94.195,93.8687,"[4, 6, 7]",8897,97.9,56128,87.0,74112,91.4
2,2,0.3,0.05,0.364,88.8251,0.357,88.6768,87.9351,"[4, 6, 7]",8897,97.9,56128,87.0,74112,91.4
3,3,0.3,0.05,0.301,90.7449,0.248,91.8117,91.1294,"[4, 6, 7]",8897,97.9,56128,87.0,74112,91.4
4,4,0.3,0.05,0.19,94.0557,0.173,94.6598,93.9181,"[4, 6, 7]",8897,97.9,56128,87.0,74112,91.4
5,5,0.3,0.05,0.164,94.8617,0.175,94.7093,93.9181,"[4, 6, 7]",8897,97.9,56128,87.0,74112,91.4
6,6,0.3,0.05,0.235,93.2705,0.175,94.4027,93.8588,"[4, 6, 7]",8897,97.9,56128,87.0,74112,91.4
7,7,0.3,0.05,0.206,93.6625,0.153,95.3916,95.2433,"[4, 6, 7]",8897,97.9,56128,87.0,74112,91.4
8,8,0.3,0.05,0.117,96.3319,0.112,96.4893,96.4399,"[4, 6, 7]",8897,97.9,56128,87.0,74112,91.4
9,9,0.3,0.05,0.115,96.3562,0.226,92.3457,92.4051,"[4, 6, 7]",8897,97.9,56128,87.0,74112,91.4
10,10,0.3,0.05,0.198,94.3607,0.148,95.4213,95.54,"[4, 6, 7]",8897,97.9,56128,87.0,74112,91.4
11,11,0.3,0.05,0.122,96.232,0.117,96.3608,96.1926,"[4, 6, 7]",8897,97.9,56128,87.0,74112,91.4
12,12,0.3,0.05,0.121,96.2663,0.117,96.519,96.3113,"[4, 6, 7]",8897,97.9,56128,87.0,74112,91.4
13,13,0.3,0.05,0.091,97.2054,0.104,96.8651,96.6278,"[4, 6, 7]",8897,97.9,56128,87.0,74112,91.4
14,14,0.3,0.05,0.107,96.7299,0.104,96.7662,96.4102,"[3, 6, 7]",8876,97.9,55892,87.0,73803,91.4
15,15,0.3,0.05,0.096,96.9825,0.115,96.5487,96.3706,"[3, 6, 7]",8876,97.9,55892,87.0,73803,91.4
16,16,0.3,0.05,0.087,97.2834,0.101,96.8552,97.0233,"[3, 6, 7]",8876,97.9,55892,87.0,73803,91.4
17,17,0.3,0.05,0.082,97.3669,0.083,97.3892,97.409,"[3, 6, 7]",8876,97.9,55892,87.0,73803,91.4
18,18,0.3,0.05,0.069,97.8388,0.092,97.2112,97.0431,"[3, 6, 7]",8876,97.9,55892,87.0,73803,91.4
19,19,0.3,0.05,0.068,97.9236,0.08,97.4684,97.6563,"[3, 6, 7]",8876,97.9,55892,87.0,73803,91.4
