,epoch,theta,learning_rate,train_loss,train_accuracy(%),top_5_accuracy(%),test_accuracy(%),top_5_test_accuracy(%),ranks,# effective parameters,cr_test (%),# effective parameters train,cr_train (%),# effective parameters train with grads,cr_train_grads (%)
0,0,vanilla,0.01,2.296,14.036,57.6395,18.661,62.3813,"[20, 20, 20]",16460,96.2,84400,80.4,123500,85.7
1,1,vanilla,0.01,2.256,19.404,65.6698,20.5597,69.5115,"[20, 20, 20]",16460,96.2,84400,80.4,123500,85.7
2,2,vanilla,0.01,2.124,20.95,75.2997,22.3299,81.6258,"[20, 20, 20]",16460,96.2,84400,80.4,123500,85.7
3,3,vanilla,0.01,1.943,24.276,83.2065,24.4956,85.5123,"[20, 20, 20]",16460,96.2,84400,80.4,123500,85.7
4,4,vanilla,0.01,1.776,28.43,88.1438,33.8311,89.8833,"[20, 20, 20]",16460,96.2,84400,80.4,123500,85.7
5,5,vanilla,0.01,1.647,37.876,90.7988,42.8402,91.5942,"[20, 20, 20]",16460,96.2,84400,80.4,123500,85.7
6,6,vanilla,0.01,1.522,46.506,92.118,48.9715,93.2555,"[20, 20, 20]",16460,96.2,84400,80.4,123500,85.7
7,7,vanilla,0.01,1.351,52.566,94.4182,56.4379,95.8267,"[20, 20, 20]",16460,96.2,84400,80.4,123500,85.7
8,8,vanilla,0.01,1.167,58.44,96.3711,61.0957,96.9343,"[20, 20, 20]",16460,96.2,84400,80.4,123500,85.7
9,9,vanilla,0.01,1.053,62.334,97.2363,64.2801,97.5969,"[20, 20, 20]",16460,96.2,84400,80.4,123500,85.7
