,epoch,theta,learning_rate,train_loss,train_accuracy(%),top_5_accuracy(%),test_accuracy(%),top_5_test_accuracy(%),ranks,# effective parameters,cr_test (%),# effective parameters train,cr_train (%),# effective parameters train with grads,cr_train_grads (%)
-1,0,vanilla,0.01,,,,11.3331,49.8912,"[20, 20, 20]",16460,96.2,84400,80.4,128500,85.1
0,0,vanilla,0.01,2.301,11.265,53.05,11.2638,56.9719,"[20, 20, 20]",16460,96.2,84400,80.4,128500,85.1
1,1,vanilla,0.01,2.297,11.2533,60.8664,11.1946,65.1899,"[20, 20, 20]",16460,96.2,84400,80.4,128500,85.1
2,2,vanilla,0.01,2.284,14.6533,70.8289,19.64,75.089,"[20, 20, 20]",16460,96.2,84400,80.4,128500,85.1
3,3,vanilla,0.01,2.233,22.8483,79.4354,25.4153,83.9695,"[20, 20, 20]",16460,96.2,84400,80.4,128500,85.1
4,4,vanilla,0.01,2.069,23.9583,81.7542,25.9098,83.129,"[20, 20, 20]",16460,96.2,84400,80.4,128500,85.1
5,5,vanilla,0.01,1.791,34.7183,88.0347,42.4743,91.5546,"[20, 20, 20]",16460,96.2,84400,80.4,128500,85.1
6,6,vanilla,0.01,1.488,49.6733,94.3602,52.7591,95.8366,"[20, 20, 20]",16460,96.2,84400,80.4,128500,85.1
7,7,vanilla,0.01,1.228,57.4483,96.6196,59.642,96.9442,"[20, 20, 20]",16460,96.2,84400,80.4,128500,85.1
8,8,vanilla,0.01,1.083,63.3683,97.3675,65.8327,97.8046,"[20, 20, 20]",16460,96.2,84400,80.4,128500,85.1
9,9,vanilla,0.01,0.923,69.315,97.8439,70.9949,98.309,"[20, 20, 20]",16460,96.2,84400,80.4,128500,85.1
10,10,vanilla,0.01,0.783,73.785,98.2554,75.0099,98.4969,"[20, 20, 20]",16460,96.2,84400,80.4,128500,85.1
11,11,vanilla,0.01,0.701,76.8767,98.5197,77.7294,98.6254,"[20, 20, 20]",16460,96.2,84400,80.4,128500,85.1
12,12,vanilla,0.01,0.646,79.265,98.6663,79.5788,98.7342,"[20, 20, 20]",16460,96.2,84400,80.4,128500,85.1
13,13,vanilla,0.01,0.605,80.935,98.744,81.4379,98.8232,"[20, 20, 20]",16460,96.2,84400,80.4,128500,85.1
14,14,vanilla,0.01,0.568,82.3967,98.8334,82.8718,98.9913,"[20, 20, 20]",16460,96.2,84400,80.4,128500,85.1
15,15,vanilla,0.01,0.536,83.5483,98.8717,83.6729,99.0606,"[20, 20, 20]",16460,96.2,84400,80.4,128500,85.1
16,16,vanilla,0.01,0.508,84.5483,98.9467,84.6321,99.1199,"[20, 20, 20]",16460,96.2,84400,80.4,128500,85.1
17,17,vanilla,0.01,0.483,85.2217,99.0105,85.5123,99.1693,"[20, 20, 20]",16460,96.2,84400,80.4,128500,85.1
18,18,vanilla,0.01,0.461,86.035,99.0922,86.2342,99.3078,"[20, 20, 20]",16460,96.2,84400,80.4,128500,85.1
19,19,vanilla,0.01,0.44,86.65,99.1688,86.5704,99.2485,"[20, 20, 20]",16460,96.2,84400,80.4,128500,85.1
