,epoch,theta,learning_rate,train_loss,train_accuracy(%),top_5_accuracy(%),test_accuracy(%),top_5_test_accuracy(%),ranks,# effective parameters,cr_test (%),# effective parameters train,cr_train (%),# effective parameters train with grads,cr_train_grads (%)
-1,0,0.08,0.01,,,,9.9189,60.1365,"[20, 20, 20]",16460,96.2,84400,80.4,128500,85.1
0,0,0.08,0.01,2.287,19.28,62.8781,35.1365,82.1103,"[20, 20, 20]",16460,96.2,84400,80.4,128500,85.1
1,1,0.08,0.01,1.372,60.9517,94.1503,81.1511,98.7738,"[20, 20, 20]",16460,96.2,84400,80.4,128500,85.1
2,2,0.08,0.01,0.418,87.3383,99.2571,89.4877,99.3869,"[20, 20, 20]",16460,96.2,84400,80.4,128500,85.1
3,3,0.08,0.01,0.298,90.8783,99.6152,92.0688,99.7133,"[20, 20, 20]",16460,96.2,84400,80.4,128500,85.1
4,4,0.08,0.01,0.237,92.755,99.7879,93.4434,99.7528,"[20, 20, 20]",16460,96.2,84400,80.4,128500,85.1
5,5,0.08,0.01,0.197,93.9683,99.8534,94.1357,99.7825,"[20, 20, 20]",16460,96.2,84400,80.4,128500,85.1
6,6,0.08,0.01,0.167,94.925,99.8667,94.7686,99.8418,"[20, 20, 20]",16460,96.2,84400,80.4,128500,85.1
7,7,0.08,0.01,0.146,95.49,99.9067,94.9466,99.8913,"[20, 20, 20]",16460,96.2,84400,80.4,128500,85.1
8,8,0.08,0.01,0.131,96.01,99.9084,95.9751,99.9111,"[20, 20, 20]",16460,96.2,84400,80.4,128500,85.1
9,9,0.08,0.01,0.119,96.3417,99.94,96.2025,99.9407,"[20, 20, 20]",16460,96.2,84400,80.4,128500,85.1
10,10,0.08,0.01,0.109,96.6783,99.9417,95.7575,99.9209,"[20, 20, 20]",16460,96.2,84400,80.4,128500,85.1
11,11,0.08,0.01,0.102,96.8367,99.9434,96.1234,99.9012,"[20, 20, 20]",16460,96.2,84400,80.4,128500,85.1
12,12,0.08,0.01,0.097,97.0033,99.9434,96.7563,99.9407,"[20, 20, 20]",16460,96.2,84400,80.4,128500,85.1
13,13,0.08,0.01,0.093,97.0933,99.945,96.5387,99.9209,"[20, 20, 20]",16460,96.2,84400,80.4,128500,85.1
14,14,0.08,0.01,0.089,97.205,99.9584,96.8255,99.9308,"[20, 20, 20]",16460,96.2,84400,80.4,128500,85.1
15,15,0.08,0.01,0.085,97.3633,99.9584,96.8552,99.9605,"[20, 20, 20]",16460,96.2,84400,80.4,128500,85.1
16,16,0.08,0.01,0.081,97.53,99.9517,96.9244,99.9605,"[20, 20, 20]",16460,96.2,84400,80.4,128500,85.1
17,17,0.08,0.01,0.079,97.4867,99.965,97.0629,99.9506,"[20, 20, 20]",16460,96.2,84400,80.4,128500,85.1
18,18,0.08,0.01,0.076,97.605,99.9617,97.1321,99.9506,"[20, 20, 20]",16460,96.2,84400,80.4,128500,85.1
19,19,0.08,0.01,0.073,97.7083,99.97,97.0332,99.9605,"[20, 20, 20]",16460,96.2,84400,80.4,128500,85.1
