,epoch,cr layerwise,cross val,learning_rate,train_loss,train_accuracy(%),top_5_accuracy(%),test_accuracy(%),top_5_test_accuracy(%),ranks,# effective parameters,cr_test (%),# effective parameters train,cr_train (%),# effective parameters train with grads,cr_train_grads (%)
0,0,0.7,0,0.05,0.91,69.89,91.4807,94.4324,99.8715,"[3, 13, 92]",51818,88.0,284696,33.9,425223,50.6
1,1,0.7,0,0.05,0.125,96.1583,99.9184,97.0134,99.9111,"[3, 13, 92]",51818,88.0,284696,33.9,425223,50.6
2,2,0.7,0,0.05,0.083,97.3567,99.9584,97.5969,99.9308,"[3, 13, 92]",51818,88.0,284696,33.9,425223,50.6
3,3,0.7,0,0.05,0.071,97.715,99.9767,97.5475,99.9308,"[3, 13, 92]",51818,88.0,284696,33.9,425223,50.6
4,4,0.7,0,0.05,0.068,97.8183,99.9783,97.5771,99.9209,"[3, 13, 92]",51818,88.0,284696,33.9,425223,50.6
5,5,0.7,0,0.05,0.075,97.815,99.9667,97.8244,99.9209,"[3, 13, 92]",51818,88.0,284696,33.9,425223,50.6
6,6,0.7,0,0.05,0.052,98.3417,99.9833,97.4684,99.9407,"[3, 13, 92]",51818,88.0,284696,33.9,425223,50.6
7,7,0.7,0,0.05,0.047,98.465,99.9867,97.953,99.9605,"[3, 13, 92]",51818,88.0,284696,33.9,425223,50.6
8,8,0.7,0,0.05,0.047,98.47,99.985,97.8639,99.9605,"[3, 13, 92]",51818,88.0,284696,33.9,425223,50.6
9,9,0.7,0,0.05,0.042,98.6567,99.9967,98.2991,99.9704,"[3, 13, 92]",51818,88.0,284696,33.9,425223,50.6
