,epoch,cr layerwise,cross val,learning_rate,train_loss,train_accuracy(%),top_5_accuracy(%),test_accuracy(%),top_5_test_accuracy(%),ranks,# effective parameters,cr_test (%),# effective parameters train,cr_train (%),# effective parameters train with grads,cr_train_grads (%)
0,0,0.2,4,0.05,0.472,85.8767,97.6413,95.5498,99.8319,"[8, 36, 245]",129749,69.9,866475,-101.3,1271520,-47.7
1,1,0.2,4,0.05,0.12,96.2517,99.9167,97.3596,99.9704,"[8, 36, 245]",129749,69.9,866475,-101.3,1271520,-47.7
2,2,0.2,4,0.05,0.086,97.335,99.9484,97.7551,100.0001,"[8, 36, 245]",129749,69.9,866475,-101.3,1271520,-47.7
3,3,0.2,4,0.05,0.064,97.9733,99.9667,97.2112,99.9902,"[8, 36, 245]",129749,69.9,866475,-101.3,1271520,-47.7
4,4,0.2,4,0.05,0.054,98.3,99.98,98.665,99.9902,"[8, 36, 245]",129749,69.9,866475,-101.3,1271520,-47.7
5,5,0.2,4,0.05,0.047,98.4983,99.985,98.487,100.0001,"[8, 36, 245]",129749,69.9,866475,-101.3,1271520,-47.7
6,6,0.2,4,0.05,0.042,98.6717,99.9917,98.5562,100.0001,"[8, 36, 245]",129749,69.9,866475,-101.3,1271520,-47.7
7,7,0.2,4,0.05,0.036,98.8883,99.9917,98.9221,100.0001,"[8, 36, 245]",129749,69.9,866475,-101.3,1271520,-47.7
8,8,0.2,4,0.05,0.032,98.9533,99.9933,98.8529,100.0001,"[8, 36, 245]",129749,69.9,866475,-101.3,1271520,-47.7
9,9,0.2,4,0.05,0.028,99.1167,99.995,98.7639,100.0001,"[8, 36, 245]",129749,69.9,866475,-101.3,1271520,-47.7
