,epoch,cr layerwise,cross val,learning_rate,train_loss,train_accuracy(%),top_5_accuracy(%),test_accuracy(%),top_5_test_accuracy(%),ranks,# effective parameters,cr_test (%),# effective parameters train,cr_train (%),# effective parameters train with grads,cr_train_grads (%)
0,0,Baseline,4,0.05,0.624,82.22,96.332,95.2927,99.8517,[],430500,0.0,430500,0.0,861000,0.0
1,1,Baseline,4,0.05,0.128,96.09,99.9184,96.7761,99.9704,[],430500,0.0,430500,0.0,861000,0.0
2,2,Baseline,4,0.05,0.084,97.405,99.95,98.1112,99.9605,[],430500,0.0,430500,0.0,861000,0.0
3,3,Baseline,4,0.05,0.065,98.0,99.9667,98.4672,99.9902,[],430500,0.0,430500,0.0,861000,0.0
4,4,Baseline,4,0.05,0.054,98.3333,99.9783,98.6353,100.0001,[],430500,0.0,430500,0.0,861000,0.0
5,5,Baseline,4,0.05,0.047,98.5233,99.9783,98.6551,100.0001,[],430500,0.0,430500,0.0,861000,0.0
6,6,Baseline,4,0.05,0.041,98.7717,99.985,98.5661,99.9902,[],430500,0.0,430500,0.0,861000,0.0
7,7,Baseline,4,0.05,0.037,98.8817,99.9867,98.8925,100.0001,[],430500,0.0,430500,0.0,861000,0.0
8,8,Baseline,4,0.05,0.033,98.9817,99.99,98.754,100.0001,[],430500,0.0,430500,0.0,861000,0.0
9,9,Baseline,4,0.05,0.029,99.085,99.9917,98.8826,99.9902,[],430500,0.0,430500,0.0,861000,0.0
