,epoch,cr layerwise,cross val,learning_rate,train_loss,train_accuracy(%),top_5_accuracy(%),test_accuracy(%),top_5_test_accuracy(%),ranks,# effective parameters,cr_test (%),# effective parameters train,cr_train (%),# effective parameters train with grads,cr_train_grads (%)
0,0,0.5,3,0.05,0.798,75.5433,93.4068,95.6092,99.9209,"[5, 22, 153]",82880,80.7,499204,-16.0,739347,14.1
1,1,0.5,3,0.05,0.134,96.0483,99.8917,97.3003,99.9704,"[5, 22, 153]",82880,80.7,499204,-16.0,739347,14.1
2,2,0.5,3,0.05,0.094,97.0,99.9534,97.5771,99.9704,"[5, 22, 153]",82880,80.7,499204,-16.0,739347,14.1
3,3,0.5,3,0.05,0.08,97.4933,99.9517,97.9529,99.9506,"[5, 22, 153]",82880,80.7,499204,-16.0,739347,14.1
4,4,0.5,3,0.05,0.062,98.0533,99.9733,96.8849,99.9902,"[5, 22, 153]",82880,80.7,499204,-16.0,739347,14.1
5,5,0.5,3,0.05,0.054,98.3383,99.9667,98.487,99.9902,"[5, 22, 153]",82880,80.7,499204,-16.0,739347,14.1
6,6,0.5,3,0.05,0.053,98.3017,99.9833,98.3189,100.0001,"[5, 22, 153]",82880,80.7,499204,-16.0,739347,14.1
7,7,0.5,3,0.05,0.046,98.5283,99.9833,98.4078,99.9902,"[5, 22, 153]",82880,80.7,499204,-16.0,739347,14.1
8,8,0.5,3,0.05,0.042,98.635,99.9883,93.216,99.9704,"[5, 22, 153]",82880,80.7,499204,-16.0,739347,14.1
9,9,0.5,3,0.05,0.037,98.795,99.9933,98.3089,100.0001,"[5, 22, 153]",82880,80.7,499204,-16.0,739347,14.1
