,epoch,cr layerwise,cross val,learning_rate,train_loss,train_accuracy(%),top_5_accuracy(%),test_accuracy(%),top_5_test_accuracy(%),ranks,# effective parameters,cr_test (%),# effective parameters train,cr_train (%),# effective parameters train with grads,cr_train_grads (%)
0,0,0.94,3,0.05,1.733,36.4667,74.1021,79.0151,98.9815,"[2, 2, 18]",14162,96.7,55176,87.2,85098,90.1
1,1,0.94,3,0.05,0.263,91.8033,99.6768,94.5807,99.8913,"[2, 2, 18]",14162,96.7,55176,87.2,85098,90.1
2,2,0.94,3,0.05,0.159,94.9633,99.8934,95.1642,99.9407,"[2, 2, 18]",14162,96.7,55176,87.2,85098,90.1
3,3,0.94,3,0.05,0.145,95.4033,99.9167,96.3608,99.9506,"[2, 2, 18]",14162,96.7,55176,87.2,85098,90.1
4,4,0.94,3,0.05,0.13,95.85,99.9167,96.5388,99.9605,"[2, 2, 18]",14162,96.7,55176,87.2,85098,90.1
5,5,0.94,3,0.05,0.11,96.4733,99.94,96.9343,99.9704,"[2, 2, 18]",14162,96.7,55176,87.2,85098,90.1
6,6,0.94,3,0.05,0.103,96.7267,99.945,96.6871,99.9605,"[2, 2, 18]",14162,96.7,55176,87.2,85098,90.1
7,7,0.94,3,0.05,0.099,96.83,99.95,96.2322,99.9803,"[2, 2, 18]",14162,96.7,55176,87.2,85098,90.1
8,8,0.94,3,0.05,0.097,96.885,99.9467,97.3794,99.9902,"[2, 2, 18]",14162,96.7,55176,87.2,85098,90.1
9,9,0.94,3,0.05,0.093,97.0517,99.955,97.1618,100.0001,"[2, 2, 18]",14162,96.7,55176,87.2,85098,90.1
