,epoch,cr layerwise,cross val,learning_rate,train_loss,train_accuracy(%),top_5_accuracy(%),test_accuracy(%),top_5_test_accuracy(%),ranks,# effective parameters,cr_test (%),# effective parameters train,cr_train (%),# effective parameters train with grads,cr_train_grads (%)
0,0,Baseline,3,0.05,0.585,82.795,97.3731,94.0566,99.8814,[],430500,0.0,430500,0.0,861000,0.0
1,1,Baseline,3,0.05,0.13,96.0417,99.915,96.9937,99.9605,[],430500,0.0,430500,0.0,861000,0.0
2,2,Baseline,3,0.05,0.086,97.3383,99.95,98.0815,99.9704,[],430500,0.0,430500,0.0,861000,0.0
3,3,Baseline,3,0.05,0.066,97.9767,99.9684,98.1606,99.9803,[],430500,0.0,430500,0.0,861000,0.0
4,4,Baseline,3,0.05,0.055,98.365,99.9767,97.9233,99.9704,[],430500,0.0,430500,0.0,861000,0.0
5,5,Baseline,3,0.05,0.047,98.5683,99.975,98.5562,100.0001,[],430500,0.0,430500,0.0,861000,0.0
6,6,Baseline,3,0.05,0.041,98.75,99.985,98.7144,100.0001,[],430500,0.0,430500,0.0,861000,0.0
7,7,Baseline,3,0.05,0.036,98.875,99.9833,98.8825,100.0001,[],430500,0.0,430500,0.0,861000,0.0
8,8,Baseline,3,0.05,0.032,99.0167,99.9883,98.8232,100.0001,[],430500,0.0,430500,0.0,861000,0.0
9,9,Baseline,3,0.05,0.03,99.0533,99.99,98.8826,100.0001,[],430500,0.0,430500,0.0,861000,0.0
