,epoch,cr layerwise,cross val,learning_rate,train_loss,train_accuracy(%),top_5_accuracy(%),test_accuracy(%),top_5_test_accuracy(%),ranks,# effective parameters,cr_test (%),# effective parameters train,cr_train (%),# effective parameters train with grads,cr_train_grads (%)
0,0,0.4,1,0.05,0.613,80.775,95.4158,95.3422,99.7924,"[6, 27, 184]",98687,77.1,617503,-43.4,911444,-5.9
1,1,0.4,1,0.05,0.129,96.025,99.8951,95.629,99.9209,"[6, 27, 184]",98687,77.1,617503,-43.4,911444,-5.9
2,2,0.4,1,0.05,0.088,97.2167,99.9467,97.5079,99.9605,"[6, 27, 184]",98687,77.1,617503,-43.4,911444,-5.9
3,3,0.4,1,0.05,0.072,97.76,99.9733,97.8837,99.9902,"[6, 27, 184]",98687,77.1,617503,-43.4,911444,-5.9
4,4,0.4,1,0.05,0.062,98.0317,99.975,98.2595,99.9704,"[6, 27, 184]",98687,77.1,617503,-43.4,911444,-5.9
5,5,0.4,1,0.05,0.054,98.3067,99.9817,98.1804,99.9605,"[6, 27, 184]",98687,77.1,617503,-43.4,911444,-5.9
6,6,0.4,1,0.05,0.047,98.4917,99.985,97.3497,99.9605,"[6, 27, 184]",98687,77.1,617503,-43.4,911444,-5.9
7,7,0.4,1,0.05,0.045,98.5667,99.99,98.4474,99.9803,"[6, 27, 184]",98687,77.1,617503,-43.4,911444,-5.9
8,8,0.4,1,0.05,0.036,98.8467,99.9917,98.4079,99.9803,"[6, 27, 184]",98687,77.1,617503,-43.4,911444,-5.9
9,9,0.4,1,0.05,0.037,98.78,99.9917,98.5266,99.9902,"[6, 27, 184]",98687,77.1,617503,-43.4,911444,-5.9
