,epoch,cr layerwise,cross val,learning_rate,train_loss,train_accuracy(%),top_5_accuracy(%),test_accuracy(%),top_5_test_accuracy(%),ranks,# effective parameters,cr_test (%),# effective parameters train,cr_train (%),# effective parameters train with grads,cr_train_grads (%)
0,0,0.92,3,0.05,1.899,31.4183,70.8833,85.4826,99.1694,"[2, 3, 24]",17219,96.0,72647,83.1,111176,87.1
1,1,0.92,3,0.05,0.25,92.1467,99.7635,92.8105,99.9308,"[2, 3, 24]",17219,96.0,72647,83.1,111176,87.1
2,2,0.92,3,0.05,0.146,95.4233,99.9167,95.6289,99.9704,"[2, 3, 24]",17219,96.0,72647,83.1,111176,87.1
3,3,0.92,3,0.05,0.122,96.165,99.9334,96.8256,99.9308,"[2, 3, 24]",17219,96.0,72647,83.1,111176,87.1
4,4,0.92,3,0.05,0.101,96.7983,99.95,96.7563,99.9407,"[2, 3, 24]",17219,96.0,72647,83.1,111176,87.1
5,5,0.92,3,0.05,0.091,97.07,99.95,96.4201,99.9506,"[2, 3, 24]",17219,96.0,72647,83.1,111176,87.1
6,6,0.92,3,0.05,0.1,96.7383,99.9534,96.3706,99.9012,"[2, 3, 24]",17219,96.0,72647,83.1,111176,87.1
7,7,0.92,3,0.05,0.085,97.2767,99.9634,97.4189,99.9803,"[2, 3, 24]",17219,96.0,72647,83.1,111176,87.1
8,8,0.92,3,0.05,0.077,97.4783,99.9728,97.3695,99.9407,"[2, 3, 24]",17219,96.0,72647,83.1,111176,87.1
9,9,0.92,3,0.05,0.069,97.735,99.975,97.676,99.9704,"[2, 3, 24]",17219,96.0,72647,83.1,111176,87.1
