,epoch,cr layerwise,cross val,learning_rate,train_loss,train_accuracy(%),top_5_accuracy(%),test_accuracy(%),top_5_test_accuracy(%),ranks,# effective parameters,cr_test (%),# effective parameters train,cr_train (%),# effective parameters train with grads,cr_train_grads (%)
0,0,0.4,3,0.05,0.515,84.98,97.1349,96.1036,99.9803,"[6, 27, 184]",98687,77.1,617503,-43.4,911444,-5.9
1,1,0.4,3,0.05,0.115,96.3533,99.93,97.5574,99.9902,"[6, 27, 184]",98687,77.1,617503,-43.4,911444,-5.9
2,2,0.4,3,0.05,0.086,97.29,99.945,96.6179,99.9605,"[6, 27, 184]",98687,77.1,617503,-43.4,911444,-5.9
3,3,0.4,3,0.05,0.064,97.9283,99.97,98.1606,100.0001,"[6, 27, 184]",98687,77.1,617503,-43.4,911444,-5.9
4,4,0.4,3,0.05,0.054,98.2917,99.9767,98.3386,100.0001,"[6, 27, 184]",98687,77.1,617503,-43.4,911444,-5.9
5,5,0.4,3,0.05,0.059,98.32,99.9484,98.6056,99.9902,"[6, 27, 184]",98687,77.1,617503,-43.4,911444,-5.9
6,6,0.4,3,0.05,0.042,98.6717,99.985,98.2101,100.0001,"[6, 27, 184]",98687,77.1,617503,-43.4,911444,-5.9
7,7,0.4,3,0.05,0.037,98.8533,99.9917,98.7342,100.0001,"[6, 27, 184]",98687,77.1,617503,-43.4,911444,-5.9
8,8,0.4,3,0.05,0.033,98.9267,99.9917,97.8441,99.9902,"[6, 27, 184]",98687,77.1,617503,-43.4,911444,-5.9
9,9,0.4,3,0.05,0.029,99.0583,99.9933,98.6551,99.9902,"[6, 27, 184]",98687,77.1,617503,-43.4,911444,-5.9
