,epoch,cr layerwise,cross val,learning_rate,train_loss,train_accuracy(%),top_5_accuracy(%),test_accuracy(%),top_5_test_accuracy(%),ranks,# effective parameters,cr_test (%),# effective parameters train,cr_train (%),# effective parameters train with grads,cr_train_grads (%)
0,0,0.0,4,0.05,0.417,88.03,98.4775,96.7563,99.8814,"[10, 45, 307]",161312,62.5,1142722,-165.4,1668396,-93.8
1,1,0.0,4,0.05,0.105,96.8433,99.9417,97.3695,99.9803,"[10, 45, 307]",161312,62.5,1142722,-165.4,1668396,-93.8
2,2,0.0,4,0.05,0.076,97.6583,99.95,97.9134,99.9704,"[10, 45, 307]",161312,62.5,1142722,-165.4,1668396,-93.8
3,3,0.0,4,0.05,0.06,98.13,99.975,98.5265,99.9803,"[10, 45, 307]",161312,62.5,1142722,-165.4,1668396,-93.8
4,4,0.0,4,0.05,0.05,98.445,99.975,98.2101,100.0001,"[10, 45, 307]",161312,62.5,1142722,-165.4,1668396,-93.8
5,5,0.0,4,0.05,0.042,98.6433,99.9867,98.6551,100.0001,"[10, 45, 307]",161312,62.5,1142722,-165.4,1668396,-93.8
6,6,0.0,4,0.05,0.036,98.855,99.99,98.7342,99.9803,"[10, 45, 307]",161312,62.5,1142722,-165.4,1668396,-93.8
7,7,0.0,4,0.05,0.034,98.94,99.9917,98.7837,100.0001,"[10, 45, 307]",161312,62.5,1142722,-165.4,1668396,-93.8
8,8,0.0,4,0.05,0.03,99.0067,99.9933,98.8925,100.0001,"[10, 45, 307]",161312,62.5,1142722,-165.4,1668396,-93.8
9,9,0.0,4,0.05,0.026,99.1783,99.9917,98.9221,100.0001,"[10, 45, 307]",161312,62.5,1142722,-165.4,1668396,-93.8
