,epoch,cr layerwise,cross val,learning_rate,train_loss,train_accuracy(%),top_5_accuracy(%),test_accuracy(%),top_5_test_accuracy(%),ranks,# effective parameters,cr_test (%),# effective parameters train,cr_train (%),# effective parameters train with grads,cr_train_grads (%)
0,0,0.98,0,0.05,2.302,11.0233,51.4098,11.1946,51.7801,"[2, 2, 6]",8150,98.1,23112,94.6,37146,95.7
1,1,0.98,0,0.05,2.301,11.2533,51.5853,11.1254,51.7108,"[2, 2, 6]",8150,98.1,23112,94.6,37146,95.7
2,2,0.98,0,0.05,2.301,11.2533,51.6247,11.2638,51.8493,"[2, 2, 6]",8150,98.1,23112,94.6,37146,95.7
3,3,0.98,0,0.05,1.887,29.46,70.0227,80.8841,98.8924,"[2, 2, 6]",8150,98.1,23112,94.6,37146,95.7
4,4,0.98,0,0.05,0.583,80.6417,98.9139,65.2987,99.4067,"[2, 2, 6]",8150,98.1,23112,94.6,37146,95.7
5,5,0.98,0,0.05,0.386,87.73,99.4186,89.9525,99.6243,"[2, 2, 6]",8150,98.1,23112,94.6,37146,95.7
6,6,0.98,0,0.05,0.344,89.0067,99.5519,90.4074,99.6342,"[2, 2, 6]",8150,98.1,23112,94.6,37146,95.7
7,7,0.98,0,0.05,0.364,88.4117,99.4869,89.2603,99.5551,"[2, 2, 6]",8150,98.1,23112,94.6,37146,95.7
8,8,0.98,0,0.05,0.454,85.68,99.2343,83.6729,98.8924,"[2, 2, 6]",8150,98.1,23112,94.6,37146,95.7
9,9,0.98,0,0.05,0.669,79.3967,98.3326,77.1559,98.9221,"[2, 2, 6]",8150,98.1,23112,94.6,37146,95.7
