,epoch,cr layerwise,cross val,learning_rate,train_loss,train_accuracy(%),top_5_accuracy(%),test_accuracy(%),top_5_test_accuracy(%),ranks,# effective parameters,cr_test (%),# effective parameters train,cr_train (%),# effective parameters train with grads,cr_train_grads (%)
0,0,0.7,1,0.05,0.647,81.295,95.8439,95.2136,99.8715,"[3, 13, 92]",51818,88.0,284696,33.9,425223,50.6
1,1,0.7,1,0.05,0.123,96.2217,99.91,96.7662,99.8913,"[3, 13, 92]",51818,88.0,284696,33.9,425223,50.6
2,2,0.7,1,0.05,0.089,97.28,99.9534,96.964,99.9704,"[3, 13, 92]",51818,88.0,284696,33.9,425223,50.6
3,3,0.7,1,0.05,0.078,97.5383,99.9584,96.163,99.9506,"[3, 13, 92]",51818,88.0,284696,33.9,425223,50.6
4,4,0.7,1,0.05,0.066,97.8817,99.9684,98.0419,99.9803,"[3, 13, 92]",51818,88.0,284696,33.9,425223,50.6
5,5,0.7,1,0.05,0.064,97.93,99.975,96.7662,99.9407,"[3, 13, 92]",51818,88.0,284696,33.9,425223,50.6
6,6,0.7,1,0.05,0.058,98.145,99.9767,97.8639,99.9704,"[3, 13, 92]",51818,88.0,284696,33.9,425223,50.6
7,7,0.7,1,0.05,0.054,98.27,99.99,96.4794,99.9803,"[3, 13, 92]",51818,88.0,284696,33.9,425223,50.6
8,8,0.7,1,0.05,0.077,97.9417,99.9267,98.2398,99.9902,"[3, 13, 92]",51818,88.0,284696,33.9,425223,50.6
9,9,0.7,1,0.05,0.042,98.64,99.9883,98.2595,99.9902,"[3, 13, 92]",51818,88.0,284696,33.9,425223,50.6
