,epoch,cr layerwise,cross val,learning_rate,train_loss,train_accuracy(%),top_5_accuracy(%),test_accuracy(%),top_5_test_accuracy(%),ranks,# effective parameters,cr_test (%),# effective parameters train,cr_train (%),# effective parameters train with grads,cr_train_grads (%)
0,0,0.5,4,0.05,0.587,82.1267,96.5652,95.441,99.9012,"[5, 22, 153]",82880,80.7,499204,-16.0,739347,14.1
1,1,0.5,4,0.05,0.133,95.8583,99.9017,97.4486,99.9605,"[5, 22, 153]",82880,80.7,499204,-16.0,739347,14.1
2,2,0.5,4,0.05,0.087,97.2433,99.9567,97.9628,99.9704,"[5, 22, 153]",82880,80.7,499204,-16.0,739347,14.1
3,3,0.5,4,0.05,0.073,97.68,99.945,97.9628,99.9803,"[5, 22, 153]",82880,80.7,499204,-16.0,739347,14.1
4,4,0.5,4,0.05,0.058,98.1867,99.9733,98.309,99.9902,"[5, 22, 153]",82880,80.7,499204,-16.0,739347,14.1
5,5,0.5,4,0.05,0.051,98.3167,99.9867,98.6155,100.0001,"[5, 22, 153]",82880,80.7,499204,-16.0,739347,14.1
6,6,0.5,4,0.05,0.042,98.6717,99.9833,98.665,100.0001,"[5, 22, 153]",82880,80.7,499204,-16.0,739347,14.1
7,7,0.5,4,0.05,0.04,98.6933,99.9933,98.3485,99.9902,"[5, 22, 153]",82880,80.7,499204,-16.0,739347,14.1
8,8,0.5,4,0.05,0.035,98.8567,99.9933,98.8232,100.0001,"[5, 22, 153]",82880,80.7,499204,-16.0,739347,14.1
9,9,0.5,4,0.05,0.033,98.925,99.995,98.576,99.9902,"[5, 22, 153]",82880,80.7,499204,-16.0,739347,14.1
