,epoch,cr layerwise,cross val,learning_rate,train_loss,train_accuracy(%),top_5_accuracy(%),test_accuracy(%),top_5_test_accuracy(%),ranks,# effective parameters,cr_test (%),# effective parameters train,cr_train (%),# effective parameters train with grads,cr_train_grads (%)
0,0,0.94,2,0.05,1.736,38.14,74.8334,86.788,99.11,"[2, 2, 18]",14162,96.7,55176,87.2,85098,90.1
1,1,0.94,2,0.05,0.279,91.5383,99.668,93.9873,99.8023,"[2, 2, 18]",14162,96.7,55176,87.2,85098,90.1
2,2,0.94,2,0.05,0.208,93.4917,99.7751,94.1159,99.8814,"[2, 2, 18]",14162,96.7,55176,87.2,85098,90.1
3,3,0.94,2,0.05,0.156,95.065,99.8867,95.2631,99.8715,"[2, 2, 18]",14162,96.7,55176,87.2,85098,90.1
4,4,0.94,2,0.05,0.186,94.2933,99.8834,95.8959,99.9209,"[2, 2, 18]",14162,96.7,55176,87.2,85098,90.1
5,5,0.94,2,0.05,0.136,95.6617,99.9184,95.8861,99.9506,"[2, 2, 18]",14162,96.7,55176,87.2,85098,90.1
6,6,0.94,2,0.05,0.161,95.1733,99.8701,95.6388,99.9209,"[2, 2, 18]",14162,96.7,55176,87.2,85098,90.1
7,7,0.94,2,0.05,0.109,96.5133,99.9417,96.1234,99.9407,"[2, 2, 18]",14162,96.7,55176,87.2,85098,90.1
8,8,0.94,2,0.05,0.118,96.3667,99.9317,96.8156,99.9506,"[2, 2, 18]",14162,96.7,55176,87.2,85098,90.1
9,9,0.94,2,0.05,0.118,96.1683,99.9634,96.6574,99.9506,"[2, 2, 18]",14162,96.7,55176,87.2,85098,90.1
