,epoch,cr layerwise,cross val,learning_rate,train_loss,train_accuracy(%),top_5_accuracy(%),test_accuracy(%),top_5_test_accuracy(%),ranks,# effective parameters,cr_test (%),# effective parameters train,cr_train (%),# effective parameters train with grads,cr_train_grads (%)
0,0,0.3,1,0.05,0.524,84.8817,96.7351,93.7698,99.8715,"[7, 31, 215]",114443,73.4,740435,-72.0,1089535,-26.5
1,1,0.3,1,0.05,0.107,96.6633,99.9417,96.9343,99.9209,"[7, 31, 215]",114443,73.4,740435,-72.0,1089535,-26.5
2,2,0.3,1,0.05,0.08,97.475,99.9534,97.5376,99.9605,"[7, 31, 215]",114443,73.4,740435,-72.0,1089535,-26.5
3,3,0.3,1,0.05,0.065,97.9967,99.975,97.7651,99.9902,"[7, 31, 215]",114443,73.4,740435,-72.0,1089535,-26.5
4,4,0.3,1,0.05,0.069,97.9783,99.9334,98.1013,99.9506,"[7, 31, 215]",114443,73.4,740435,-72.0,1089535,-26.5
5,5,0.3,1,0.05,0.046,98.535,99.98,98.487,99.9803,"[7, 31, 215]",114443,73.4,740435,-72.0,1089535,-26.5
6,6,0.3,1,0.05,0.042,98.6817,99.9867,98.4771,99.9902,"[7, 31, 215]",114443,73.4,740435,-72.0,1089535,-26.5
7,7,0.3,1,0.05,0.037,98.7983,99.99,98.1507,99.9704,"[7, 31, 215]",114443,73.4,740435,-72.0,1089535,-26.5
8,8,0.3,1,0.05,0.032,98.9467,99.9917,98.5958,99.9803,"[7, 31, 215]",114443,73.4,740435,-72.0,1089535,-26.5
9,9,0.3,1,0.05,0.029,99.05,99.9933,98.4375,99.9902,"[7, 31, 215]",114443,73.4,740435,-72.0,1089535,-26.5
