,epoch,cr layerwise,cross val,learning_rate,train_loss,train_accuracy(%),top_5_accuracy(%),test_accuracy(%),top_5_test_accuracy(%),ranks,# effective parameters,cr_test (%),# effective parameters train,cr_train (%),# effective parameters train with grads,cr_train_grads (%)
0,0,0.94,4,0.05,1.686,38.5267,76.3093,82.2191,99.2386,"[2, 2, 18]",14162,96.7,55176,87.2,85098,90.1
1,1,0.94,4,0.05,0.286,90.9617,99.7018,93.6907,99.8319,"[2, 2, 18]",14162,96.7,55176,87.2,85098,90.1
2,2,0.94,4,0.05,0.175,94.3767,99.8767,94.8576,99.8913,"[2, 2, 18]",14162,96.7,55176,87.2,85098,90.1
3,3,0.94,4,0.05,0.174,94.4467,99.8667,95.5004,99.9111,"[2, 2, 18]",14162,96.7,55176,87.2,85098,90.1
4,4,0.94,4,0.05,0.131,95.7067,99.9384,95.6191,99.9111,"[2, 2, 18]",14162,96.7,55176,87.2,85098,90.1
5,5,0.94,4,0.05,0.114,96.3883,99.9284,96.252,99.9605,"[2, 2, 18]",14162,96.7,55176,87.2,85098,90.1
6,6,0.94,4,0.05,0.106,96.6,99.9617,97.1222,99.9704,"[2, 2, 18]",14162,96.7,55176,87.2,85098,90.1
7,7,0.94,4,0.05,0.102,96.7033,99.9484,96.3113,99.9803,"[2, 2, 18]",14162,96.7,55176,87.2,85098,90.1
8,8,0.94,4,0.05,0.101,96.67,99.96,96.7168,99.9704,"[2, 2, 18]",14162,96.7,55176,87.2,85098,90.1
9,9,0.94,4,0.05,0.099,96.735,99.965,96.7464,99.9704,"[2, 2, 18]",14162,96.7,55176,87.2,85098,90.1
