,epoch,cr layerwise,cross val,learning_rate,train_loss,train_accuracy(%),top_5_accuracy(%),test_accuracy(%),top_5_test_accuracy(%),ranks,# effective parameters,cr_test (%),# effective parameters train,cr_train (%),# effective parameters train with grads,cr_train_grads (%)
0,0,0.7,2,0.05,1.008,68.12,89.2691,93.7105,99.8616,"[3, 13, 92]",51818,88.0,284696,33.9,425223,50.6
1,1,0.7,2,0.05,0.156,95.075,99.8717,96.0443,99.9111,"[3, 13, 92]",51818,88.0,284696,33.9,425223,50.6
2,2,0.7,2,0.05,0.1,96.8817,99.95,97.142,99.9506,"[3, 13, 92]",51818,88.0,284696,33.9,425223,50.6
3,3,0.7,2,0.05,0.077,97.5817,99.9567,98.0123,99.9506,"[3, 13, 92]",51818,88.0,284696,33.9,425223,50.6
4,4,0.7,2,0.05,0.064,97.935,99.9733,98.1211,99.9803,"[3, 13, 92]",51818,88.0,284696,33.9,425223,50.6
5,5,0.7,2,0.05,0.058,98.1183,99.9733,97.8343,99.9704,"[3, 13, 92]",51818,88.0,284696,33.9,425223,50.6
6,6,0.7,2,0.05,0.051,98.3917,99.9883,98.6056,99.9902,"[3, 13, 92]",51818,88.0,284696,33.9,425223,50.6
7,7,0.7,2,0.05,0.045,98.5783,99.9883,98.6057,99.9902,"[3, 13, 92]",51818,88.0,284696,33.9,425223,50.6
8,8,0.7,2,0.05,0.044,98.58,99.9867,98.5958,99.9902,"[3, 13, 92]",51818,88.0,284696,33.9,425223,50.6
9,9,0.7,2,0.05,0.043,98.5967,99.9833,98.5562,99.9902,"[3, 13, 92]",51818,88.0,284696,33.9,425223,50.6
