,epoch,cr layerwise,cross val,learning_rate,train_loss,train_accuracy(%),top_5_accuracy(%),test_accuracy(%),top_5_test_accuracy(%),ranks,# effective parameters,cr_test (%),# effective parameters train,cr_train (%),# effective parameters train with grads,cr_train_grads (%)
0,0,0.3,0,0.05,0.443,87.1183,98.1976,95.4806,99.8814,"[7, 31, 215]",114443,73.4,740435,-72.0,1089535,-26.5
1,1,0.3,0,0.05,0.109,96.6133,99.9367,97.1717,99.9407,"[7, 31, 215]",114443,73.4,740435,-72.0,1089535,-26.5
2,2,0.3,0,0.05,0.085,97.2333,99.9584,97.4486,99.9605,"[7, 31, 215]",114443,73.4,740435,-72.0,1089535,-26.5
3,3,0.3,0,0.05,0.068,97.875,99.9761,97.5475,99.9704,"[7, 31, 215]",114443,73.4,740435,-72.0,1089535,-26.5
4,4,0.3,0,0.05,0.063,98.0183,99.975,98.042,99.9704,"[7, 31, 215]",114443,73.4,740435,-72.0,1089535,-26.5
5,5,0.3,0,0.05,0.049,98.39,99.9833,98.1903,99.9902,"[7, 31, 215]",114443,73.4,740435,-72.0,1089535,-26.5
6,6,0.3,0,0.05,0.047,98.4883,99.9867,98.2496,99.9902,"[7, 31, 215]",114443,73.4,740435,-72.0,1089535,-26.5
7,7,0.3,0,0.05,0.039,98.67,99.9933,98.1606,99.9704,"[7, 31, 215]",114443,73.4,740435,-72.0,1089535,-26.5
8,8,0.3,0,0.05,0.037,98.7783,99.99,98.576,99.9902,"[7, 31, 215]",114443,73.4,740435,-72.0,1089535,-26.5
9,9,0.3,0,0.05,0.031,98.985,99.995,97.676,99.9902,"[7, 31, 215]",114443,73.4,740435,-72.0,1089535,-26.5
