,epoch,cr layerwise,cross val,learning_rate,train_loss,train_accuracy(%),top_5_accuracy(%),test_accuracy(%),top_5_test_accuracy(%),ranks,# effective parameters,cr_test (%),# effective parameters train,cr_train (%),# effective parameters train with grads,cr_train_grads (%)
0,0,0.0,2,0.05,0.443,86.7467,98.1793,96.5289,99.9407,"[10, 45, 307]",161312,62.5,1142722,-165.4,1668396,-93.8
1,1,0.0,2,0.05,0.1,96.9533,99.94,97.5772,99.9704,"[10, 45, 307]",161312,62.5,1142722,-165.4,1668396,-93.8
2,2,0.0,2,0.05,0.073,97.8117,99.9617,97.9035,99.9803,"[10, 45, 307]",161312,62.5,1142722,-165.4,1668396,-93.8
3,3,0.0,2,0.05,0.058,98.175,99.9717,98.0024,99.9605,"[10, 45, 307]",161312,62.5,1142722,-165.4,1668396,-93.8
4,4,0.0,2,0.05,0.05,98.405,99.985,97.8541,99.9605,"[10, 45, 307]",161312,62.5,1142722,-165.4,1668396,-93.8
5,5,0.0,2,0.05,0.045,98.5583,99.985,98.2793,99.9803,"[10, 45, 307]",161312,62.5,1142722,-165.4,1668396,-93.8
6,6,0.0,2,0.05,0.037,98.8067,99.9933,98.6452,99.9803,"[10, 45, 307]",161312,62.5,1142722,-165.4,1668396,-93.8
7,7,0.0,2,0.05,0.033,98.9083,99.995,98.8628,99.9902,"[10, 45, 307]",161312,62.5,1142722,-165.4,1668396,-93.8
8,8,0.0,2,0.05,0.032,98.955,99.9917,98.5067,99.9803,"[10, 45, 307]",161312,62.5,1142722,-165.4,1668396,-93.8
9,9,0.0,2,0.05,0.027,99.1417,99.9933,98.6848,99.9902,"[10, 45, 307]",161312,62.5,1142722,-165.4,1668396,-93.8
