,epoch,cr layerwise,cross val,learning_rate,train_loss,train_accuracy(%),top_5_accuracy(%),test_accuracy(%),top_5_test_accuracy(%),ranks,# effective parameters,cr_test (%),# effective parameters train,cr_train (%),# effective parameters train with grads,cr_train_grads (%)
0,0,0.2,2,0.05,0.484,85.9183,97.3931,96.2421,99.9012,"[8, 36, 245]",129749,69.9,866475,-101.3,1271520,-47.7
1,1,0.2,2,0.05,0.11,96.5733,99.92,97.3794,99.9209,"[8, 36, 245]",129749,69.9,866475,-101.3,1271520,-47.7
2,2,0.2,2,0.05,0.079,97.5967,99.955,97.7749,99.9506,"[8, 36, 245]",129749,69.9,866475,-101.3,1271520,-47.7
3,3,0.2,2,0.05,0.07,97.855,99.965,98.1903,99.9803,"[8, 36, 245]",129749,69.9,866475,-101.3,1271520,-47.7
4,4,0.2,2,0.05,0.054,98.2633,99.9783,98.3584,99.9902,"[8, 36, 245]",129749,69.9,866475,-101.3,1271520,-47.7
5,5,0.2,2,0.05,0.047,98.4617,99.985,98.4375,99.9902,"[8, 36, 245]",129749,69.9,866475,-101.3,1271520,-47.7
6,6,0.2,2,0.05,0.042,98.6333,99.99,98.2595,99.9902,"[8, 36, 245]",129749,69.9,866475,-101.3,1271520,-47.7
7,7,0.2,2,0.05,0.036,98.865,99.99,98.8826,99.9803,"[8, 36, 245]",129749,69.9,866475,-101.3,1271520,-47.7
8,8,0.2,2,0.05,0.032,98.9667,99.9933,98.6156,99.9902,"[8, 36, 245]",129749,69.9,866475,-101.3,1271520,-47.7
9,9,0.2,2,0.05,0.029,99.0233,99.9983,98.8628,99.9902,"[8, 36, 245]",129749,69.9,866475,-101.3,1271520,-47.7
