,epoch,cr layerwise,cross val,learning_rate,train_loss,train_accuracy(%),top_5_accuracy(%),test_accuracy(%),top_5_test_accuracy(%),ranks,# effective parameters,cr_test (%),# effective parameters train,cr_train (%),# effective parameters train with grads,cr_train_grads (%)
0,0,0.1,3,0.05,0.457,86.145,98.0877,95.9256,99.9506,"[9, 40, 276]",145505,66.2,1000981,-132.5,1465043,-70.2
1,1,0.1,3,0.05,0.109,96.5933,99.9284,97.4288,99.9605,"[9, 40, 276]",145505,66.2,1000981,-132.5,1465043,-70.2
2,2,0.1,3,0.05,0.075,97.65,99.9634,97.9925,99.9902,"[9, 40, 276]",145505,66.2,1000981,-132.5,1465043,-70.2
3,3,0.1,3,0.05,0.06,98.1317,99.975,98.5364,100.0001,"[9, 40, 276]",145505,66.2,1000981,-132.5,1465043,-70.2
4,4,0.1,3,0.05,0.051,98.4,99.9833,98.3584,99.9902,"[9, 40, 276]",145505,66.2,1000981,-132.5,1465043,-70.2
5,5,0.1,3,0.05,0.043,98.62,99.9867,98.6749,100.0001,"[9, 40, 276]",145505,66.2,1000981,-132.5,1465043,-70.2
6,6,0.1,3,0.05,0.039,98.7467,99.99,98.7243,100.0001,"[9, 40, 276]",145505,66.2,1000981,-132.5,1465043,-70.2
7,7,0.1,3,0.05,0.033,98.9417,99.99,98.7936,99.9803,"[9, 40, 276]",145505,66.2,1000981,-132.5,1465043,-70.2
8,8,0.1,3,0.05,0.041,98.9033,99.9817,98.7243,99.9902,"[9, 40, 276]",145505,66.2,1000981,-132.5,1465043,-70.2
9,9,0.1,3,0.05,0.026,99.18,99.9933,98.9419,99.9803,"[9, 40, 276]",145505,66.2,1000981,-132.5,1465043,-70.2
