,epoch,cr layerwise,cross val,learning_rate,train_loss,train_accuracy(%),top_5_accuracy(%),test_accuracy(%),top_5_test_accuracy(%),ranks,# effective parameters,cr_test (%),# effective parameters train,cr_train (%),# effective parameters train with grads,cr_train_grads (%)
0,0,0.3,4,0.05,0.452,86.7417,98.4325,96.3805,99.8913,"[7, 31, 215]",114443,73.4,740435,-72.0,1089535,-26.5
1,1,0.3,4,0.05,0.122,96.1583,99.91,96.8849,100.0001,"[7, 31, 215]",114443,73.4,740435,-72.0,1089535,-26.5
2,2,0.3,4,0.05,0.083,97.3233,99.9467,97.7651,99.9704,"[7, 31, 215]",114443,73.4,740435,-72.0,1089535,-26.5
3,3,0.3,4,0.05,0.066,97.8867,99.975,97.8738,100.0001,"[7, 31, 215]",114443,73.4,740435,-72.0,1089535,-26.5
4,4,0.3,4,0.05,0.056,98.15,99.9817,97.9629,100.0001,"[7, 31, 215]",114443,73.4,740435,-72.0,1089535,-26.5
5,5,0.3,4,0.05,0.05,98.375,99.9833,98.4672,99.9902,"[7, 31, 215]",114443,73.4,740435,-72.0,1089535,-26.5
6,6,0.3,4,0.05,0.046,98.5633,99.985,97.7551,100.0001,"[7, 31, 215]",114443,73.4,740435,-72.0,1089535,-26.5
7,7,0.3,4,0.05,0.041,98.7033,99.9883,98.7046,99.9902,"[7, 31, 215]",114443,73.4,740435,-72.0,1089535,-26.5
8,8,0.3,4,0.05,0.037,98.79,99.995,97.5376,100.0001,"[7, 31, 215]",114443,73.4,740435,-72.0,1089535,-26.5
9,9,0.3,4,0.05,0.035,98.8767,99.9933,98.3288,100.0001,"[7, 31, 215]",114443,73.4,740435,-72.0,1089535,-26.5
