,epoch,cr layerwise,cross val,learning_rate,train_loss,train_accuracy(%),top_5_accuracy(%),test_accuracy(%),top_5_test_accuracy(%),ranks,# effective parameters,cr_test (%),# effective parameters train,cr_train (%),# effective parameters train with grads,cr_train_grads (%)
0,0,0.1,0,0.05,0.469,85.8317,98.0677,92.6919,99.8616,"[9, 40, 276]",145505,66.2,1000981,-132.5,1465043,-70.2
1,1,0.1,0,0.05,0.108,96.5983,99.93,97.4486,99.9506,"[9, 40, 276]",145505,66.2,1000981,-132.5,1465043,-70.2
2,2,0.1,0,0.05,0.081,97.455,99.9667,97.498,99.9506,"[9, 40, 276]",145505,66.2,1000981,-132.5,1465043,-70.2
3,3,0.1,0,0.05,0.064,98.0,99.9783,96.9344,99.9506,"[9, 40, 276]",145505,66.2,1000981,-132.5,1465043,-70.2
4,4,0.1,0,0.05,0.054,98.295,99.985,98.1013,99.9704,"[9, 40, 276]",145505,66.2,1000981,-132.5,1465043,-70.2
5,5,0.1,0,0.05,0.046,98.545,99.9933,98.576,99.9704,"[9, 40, 276]",145505,66.2,1000981,-132.5,1465043,-70.2
6,6,0.1,0,0.05,0.04,98.7167,99.9867,97.8343,99.9605,"[9, 40, 276]",145505,66.2,1000981,-132.5,1465043,-70.2
7,7,0.1,0,0.05,0.036,98.83,99.995,98.4474,99.9605,"[9, 40, 276]",145505,66.2,1000981,-132.5,1465043,-70.2
8,8,0.1,0,0.05,0.031,99.01,99.995,98.5166,99.9704,"[9, 40, 276]",145505,66.2,1000981,-132.5,1465043,-70.2
9,9,0.1,0,0.05,0.028,99.0517,99.995,98.2496,99.9704,"[9, 40, 276]",145505,66.2,1000981,-132.5,1465043,-70.2
