,epoch,cr layerwise,cross val,learning_rate,train_loss,train_accuracy(%),top_5_accuracy(%),test_accuracy(%),top_5_test_accuracy(%),ranks,# effective parameters,cr_test (%),# effective parameters train,cr_train (%),# effective parameters train with grads,cr_train_grads (%)
0,0,0.98,1,0.05,1.928,28.7267,68.1459,77.7987,98.4771,"[2, 2, 6]",8150,98.1,23112,94.6,37146,95.7
1,1,0.98,1,0.05,0.433,86.3017,99.3515,88.746,99.6243,"[2, 2, 6]",8150,98.1,23112,94.6,37146,95.7
2,2,0.98,1,0.05,0.374,88.0067,99.5119,89.9822,99.733,"[2, 2, 6]",8150,98.1,23112,94.6,37146,95.7
3,3,0.98,1,0.05,0.334,89.4633,99.5514,89.9723,99.7133,"[2, 2, 6]",8150,98.1,23112,94.6,37146,95.7
4,4,0.98,1,0.05,0.356,88.8167,99.5319,88.2219,99.6935,"[2, 2, 6]",8150,98.1,23112,94.6,37146,95.7
5,5,0.98,1,0.05,0.34,89.515,99.4897,90.2195,99.6243,"[2, 2, 6]",8150,98.1,23112,94.6,37146,95.7
6,6,0.98,1,0.05,0.347,89.2517,99.4503,76.8295,93.5423,"[2, 2, 6]",8150,98.1,23112,94.6,37146,95.7
7,7,0.98,1,0.05,0.364,88.7233,99.3964,83.8014,99.2781,"[2, 2, 6]",8150,98.1,23112,94.6,37146,95.7
8,8,0.98,1,0.05,0.55,82.4867,98.6702,87.8066,99.6638,"[2, 2, 6]",8150,98.1,23112,94.6,37146,95.7
9,9,0.98,1,0.05,0.692,77.935,98.0927,83.7322,99.1001,"[2, 2, 6]",8150,98.1,23112,94.6,37146,95.7
