,epoch,cr layerwise,cross val,learning_rate,train_loss,train_accuracy(%),top_5_accuracy(%),test_accuracy(%),top_5_test_accuracy(%),ranks,# effective parameters,cr_test (%),# effective parameters train,cr_train (%),# effective parameters train with grads,cr_train_grads (%)
0,0,0.92,1,0.05,1.972,27.3483,66.5923,83.2971,99.2683,"[2, 3, 24]",17219,96.0,72647,83.1,111176,87.1
1,1,0.92,1,0.05,0.299,90.4633,99.6302,95.1048,99.8319,"[2, 3, 24]",17219,96.0,72647,83.1,111176,87.1
2,2,0.92,1,0.05,0.171,94.7017,99.8767,92.3853,99.8418,"[2, 3, 24]",17219,96.0,72647,83.1,111176,87.1
3,3,0.92,1,0.05,0.128,95.8933,99.915,96.1729,99.9012,"[2, 3, 24]",17219,96.0,72647,83.1,111176,87.1
4,4,0.92,1,0.05,0.109,96.51,99.9467,97.1123,99.9605,"[2, 3, 24]",17219,96.0,72647,83.1,111176,87.1
5,5,0.92,1,0.05,0.126,96.0417,99.91,97.2014,99.8715,"[2, 3, 24]",17219,96.0,72647,83.1,111176,87.1
6,6,0.92,1,0.05,0.099,96.8667,99.9534,97.1914,99.9506,"[2, 3, 24]",17219,96.0,72647,83.1,111176,87.1
7,7,0.92,1,0.05,0.104,96.765,99.9367,97.6365,99.9704,"[2, 3, 24]",17219,96.0,72647,83.1,111176,87.1
8,8,0.92,1,0.05,0.081,97.3967,99.975,97.4881,99.9704,"[2, 3, 24]",17219,96.0,72647,83.1,111176,87.1
9,9,0.92,1,0.05,0.074,97.6583,99.9634,96.4794,99.9605,"[2, 3, 24]",17219,96.0,72647,83.1,111176,87.1
